title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications,
Reliability of multi-site UK Biobank MRI brain phenotypes for the assessment of neuropsychiatric complications of SARS-CoV-2 infection: The COVID-CNS travelling heads study.,https://doi.org/10.1371/journal.pone.0273704,36173949,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 1.0,Good,12-Oct-22,Duff E et al.,Technical Advance,
Phytoplankton community structuring in the absence of resource-based competitive exclusion.,https://doi.org/10.1371/journal.pone.0274183,36112595,Score 9.2, Weighted sum of stars: 2.0,,Very Good,3-Oct-22,Behrenfeld MJ et al.,Good for Teaching,
"Circulating miRNome detection analysis reveals 537 miRNAS in plasma, 625 in extracellular vesicles and a discriminant plasma signature of 19 miRNAs in children with retinoblastoma from which 14 are also detected in corresponding primary tumors.",https://doi.org/10.1371/journal.pone.0231394,32287312,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.51, Weighted sum of stars: 2.0,Very Good,3-May-23,Castro-Magdonel BE et al.,Interesting Hypothesis,
"The clean energy claims of BP, Chevron, ExxonMobil and Shell: A mismatch between discourse, actions and investments.",https://doi.org/10.1371/journal.pone.0263596,35171938,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.69, Weighted sum of stars: 1.0,Good,28-Feb-22,Li M et al.,Confirmation,
"The clean energy claims of BP, Chevron, ExxonMobil and Shell: A mismatch between discourse, actions and investments.",https://doi.org/10.1371/journal.pone.0263596,35171938,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.69, Weighted sum of stars: 1.0,Good,28-Feb-22,Li M et al.,Good for Teaching,
A resurgence of e-cigarette use among adolescents and young adults late in the COVID-19 pandemic.,https://doi.org/10.1371/journal.pone.0282894,36989261,Score 9.2, Weighted sum of stars: 2.0,,Very Good,19-Apr-23,Kreslake JM et al.,New Finding,
Loss of biased signaling at a G protein-coupled receptor in overexpressed systems.,https://doi.org/10.1371/journal.pone.0283477,36961836,Score 13.8, Weighted sum of stars: 3.0,,Good,4-Apr-23,Li A et al.,Confirmation,
Loss of biased signaling at a G protein-coupled receptor in overexpressed systems.,https://doi.org/10.1371/journal.pone.0283477,36961836,Score 13.8, Weighted sum of stars: 3.0,,Good,4-Apr-23,Li A et al.,Good for Teaching,
Loss of biased signaling at a G protein-coupled receptor in overexpressed systems.,https://doi.org/10.1371/journal.pone.0283477,36961836,Score 13.8, Weighted sum of stars: 3.0,,Good,4-Apr-23,Li A et al.,Interesting Hypothesis,
Loss of biased signaling at a G protein-coupled receptor in overexpressed systems.,https://doi.org/10.1371/journal.pone.0283477,36961836,Score 13.8, Weighted sum of stars: 3.0,,Good,4-Apr-23,Li A et al.,New Finding,
Loss of biased signaling at a G protein-coupled receptor in overexpressed systems.,https://doi.org/10.1371/journal.pone.0283477,36961836,Score 13.8, Weighted sum of stars: 3.0,,Good,4-Apr-23,Li A et al.,Refutation,
Phytoplankton community structuring in the absence of resource-based competitive exclusion.,https://doi.org/10.1371/journal.pone.0274183,36112595,Score 9.2, Weighted sum of stars: 2.0,,Very Good,3-Oct-22,Behrenfeld MJ et al.,Interesting Hypothesis,
Hypofractionated radiotherapy for newly diagnosed elderly glioblastoma patients: A systematic review and network meta-analysis.,https://doi.org/10.1371/journal.pone.0257384,34735442,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.47, Weighted sum of stars: 2.0,Very Good,19-Sep-22,Melo SM et al.,Confirmation,
"The clean energy claims of BP, Chevron, ExxonMobil and Shell: A mismatch between discourse, actions and investments.",https://doi.org/10.1371/journal.pone.0263596,35171938,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.69, Weighted sum of stars: 1.0,Good,28-Feb-22,Li M et al.,Technical Advance,
Hypofractionated radiotherapy for newly diagnosed elderly glioblastoma patients: A systematic review and network meta-analysis.,https://doi.org/10.1371/journal.pone.0257384,34735442,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.47, Weighted sum of stars: 2.0,Very Good,19-Sep-22,Melo SM et al.,Good for Teaching,
"The association of sun exposure, ultraviolet radiation effects and other risk factors for pterygium (the SURE RISK for pterygium study) in geographically diverse adult (≥40 years) rural populations of India -3rd report of the ICMR-EYE SEE study group.",https://doi.org/10.1371/journal.pone.0270065,35862365,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.36, Weighted sum of stars: 2.0,Very Good,30-Aug-22,Tandon R et al.,Confirmation,
Anesthetic protocols for urodynamic studies of the lower urinary tract in small rodents-A systematic review.,https://doi.org/10.1371/journal.pone.0253192,34166394,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.04, Weighted sum of stars: 2.0,Very Good,9-Jan-22,Abdelkhalek AS et al.,Good for Teaching,
High variability in transmission of SARS-CoV-2 within households and implications for control.,https://doi.org/10.1371/journal.pone.0259097,34758042,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.84, Weighted sum of stars: 1.0,Good,6-Dec-21,Toth DJA et al.,Controversial,
"The association of sun exposure, ultraviolet radiation effects and other risk factors for pterygium (the SURE RISK for pterygium study) in geographically diverse adult (≥40 years) rural populations of India -3rd report of the ICMR-EYE SEE study group.",https://doi.org/10.1371/journal.pone.0270065,35862365,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.36, Weighted sum of stars: 2.0,Very Good,30-Aug-22,Tandon R et al.,New Finding,
A resource for improved predictions of Trypanosoma and Leishmania protein three-dimensional structure.,https://doi.org/10.1371/journal.pone.0259871,34762696,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.52, Weighted sum of stars: 1.0,Good,27-Jul-22,Wheeler RJ,New Finding,
Loss of biased signaling at a G protein-coupled receptor in overexpressed systems.,https://doi.org/10.1371/journal.pone.0283477,36961836,Score 13.8, Weighted sum of stars: 3.0,,Good,4-Apr-23,Li A et al.,Technical Advance,
A systematic review and meta-analysis of the prevalence of hepatitis B virus infection among pregnant women in Nigeria.,https://doi.org/10.1371/journal.pone.0259218,34714888,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.35, Weighted sum of stars: 1.0,Good,18-Nov-21,Olakunde BO et al.,Good for Teaching,
"Hepatitis B Virus (HBV), Hepatitis C Virus (HCV) and Human Immunodeficiency Virus (HIV) infections among undocumented migrants and uninsured legal residents in the Netherlands: A cross-sectional study, 2018-2019.",https://doi.org/10.1371/journal.pone.0258932,34714867,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.23, Weighted sum of stars: 1.0,Good,17-Nov-21,Klok S et al.,Confirmation,
A fixable probe for visualizing flagella and plasma membranes of the African trypanosome.,https://doi.org/10.1371/journal.pone.0197541,29768499,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.29, Weighted sum of stars: 1.0,Good,4-Apr-23,"Wiedeman J, Mensa-Wilmot K",Technical Advance,
"Quality of lower limb preoperative skin preparation using colorless versus colored disinfectants-results of an experimental, randomized study in a close to reality setting.",https://doi.org/10.1371/journal.pone.0282662,36862760,Score 9.2, Weighted sum of stars: 2.0,,Very Good,3-Apr-23,Fink K et al.,Confirmation,
"Quality of lower limb preoperative skin preparation using colorless versus colored disinfectants-results of an experimental, randomized study in a close to reality setting.",https://doi.org/10.1371/journal.pone.0282662,36862760,Score 9.2, Weighted sum of stars: 2.0,,Very Good,3-Apr-23,Fink K et al.,Good for Teaching,
A resource for improved predictions of Trypanosoma and Leishmania protein three-dimensional structure.,https://doi.org/10.1371/journal.pone.0259871,34762696,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.52, Weighted sum of stars: 1.0,Good,27-Jul-22,Wheeler RJ,Technical Advance,
"Hepatitis B Virus (HBV), Hepatitis C Virus (HCV) and Human Immunodeficiency Virus (HIV) infections among undocumented migrants and uninsured legal residents in the Netherlands: A cross-sectional study, 2018-2019.",https://doi.org/10.1371/journal.pone.0258932,34714867,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.23, Weighted sum of stars: 1.0,Good,17-Nov-21,Klok S et al.,Good for Teaching,
"Quality of lower limb preoperative skin preparation using colorless versus colored disinfectants-results of an experimental, randomized study in a close to reality setting.",https://doi.org/10.1371/journal.pone.0282662,36862760,Score 9.2, Weighted sum of stars: 2.0,,Very Good,3-Apr-23,Fink K et al.,New Finding,
Development of non-transgenic glyphosate tolerant wheat by TILLING.,https://doi.org/10.1371/journal.pone.0245802,34525118,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.55, Weighted sum of stars: 1.0,Good,17-Nov-21,Moehs CP et al.,Technical Advance,
Predictors of loss to follow up from antiretroviral therapy among adolescents with HIV/AIDS in Tanzania.,https://doi.org/10.1371/journal.pone.0268825,35857796,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.54, Weighted sum of stars: 1.0,Good,25-Jul-22,Tesha ED et al.,Good for Teaching,
Phenotype of POLE-mutated endometrial cancer.,https://doi.org/10.1371/journal.pone.0214318,30917185,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.85, Weighted sum of stars: 1.0,Good,10-Jul-22,Imboden S et al.,Confirmation,
Pathologic properties of SOD3 variant R213G in the cardiovascular system through the altered neutrophils function.,https://doi.org/10.1371/journal.pone.0227449,32004354,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.34, Weighted sum of stars: 1.0,Good,14-Nov-21,Kwon MJ et al.,New Finding,
Ultrasound versus fluoroscopy as imaging guidance for percutaneous nephrolithotomy: A systematic review and meta-analysis.,https://doi.org/10.1371/journal.pone.0276708,36862676,Score 4.6, Weighted sum of stars: 1.0,,Good,19-Mar-23,Arabzadeh Bahri R et al.,Confirmation,
"A correlational study between microstructural, macrostructural and functional age-related changes in the human visual cortex.",https://doi.org/10.1371/journal.pone.0266206,36662780,Score 4.6, Weighted sum of stars: 1.0,,Good,7-Feb-23,Malakshan SR et al.,Good for Teaching,
"A correlational study between microstructural, macrostructural and functional age-related changes in the human visual cortex.",https://doi.org/10.1371/journal.pone.0266206,36662780,Score 4.6, Weighted sum of stars: 1.0,,Good,7-Feb-23,Malakshan SR et al.,New Finding,
Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion.,https://doi.org/10.1371/journal.pone.0277607,36449493,Score 9.2, Weighted sum of stars: 2.0,,Very Good,1-Feb-23,Gibbs M et al.,Good for Teaching,
Bitter taste sensitivity in domestic dogs (Canis familiaris) and its relevance to bitter deterrents of ingestion.,https://doi.org/10.1371/journal.pone.0277607,36449493,Score 9.2, Weighted sum of stars: 2.0,,Very Good,1-Feb-23,Gibbs M et al.,New Finding,
"A novel Oprm1-Cre mouse maintains endogenous expression, function and enables detailed molecular characterization of μ-opioid receptor cells.",https://doi.org/10.1371/journal.pone.0270317,36534642,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,3-Jan-23,Mengaziol J et al.,Good for Teaching,
"A novel Oprm1-Cre mouse maintains endogenous expression, function and enables detailed molecular characterization of μ-opioid receptor cells.",https://doi.org/10.1371/journal.pone.0270317,36534642,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,3-Jan-23,Mengaziol J et al.,New Finding,
"A novel Oprm1-Cre mouse maintains endogenous expression, function and enables detailed molecular characterization of μ-opioid receptor cells.",https://doi.org/10.1371/journal.pone.0270317,36534642,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,3-Jan-23,Mengaziol J et al.,Technical Advance,
Development and validation of a clinical predictive model for severe and critical pediatric COVID-19 infection.,https://doi.org/10.1371/journal.pone.0275761,36301941,Score 9.2, Weighted sum of stars: 2.0,,Very Good,2-Jan-23,Wong JJM et al.,Good for Teaching,
Diabetes self-management education interventions in the WHO African Region: A scoping review.,https://doi.org/10.1371/journal.pone.0256123,34403455,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.38, Weighted sum of stars: 2.0,Very Good,24-Oct-21,Kumah E et al.,Good for Teaching,
"Whatever you want: Inconsistent results are the rule, not the exception, in the study of primate brain evolution.",https://doi.org/10.1371/journal.pone.0218655,31329603,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.08, Weighted sum of stars: 2.0,Very Good,20-Oct-21,Wartel A et al.,Controversial,
"Whatever you want: Inconsistent results are the rule, not the exception, in the study of primate brain evolution.",https://doi.org/10.1371/journal.pone.0218655,31329603,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.08, Weighted sum of stars: 2.0,Very Good,20-Oct-21,Wartel A et al.,Good for Teaching,
Development and validation of a clinical predictive model for severe and critical pediatric COVID-19 infection.,https://doi.org/10.1371/journal.pone.0275761,36301941,Score 9.2, Weighted sum of stars: 2.0,,Very Good,2-Jan-23,Wong JJM et al.,New Finding,
"Whatever you want: Inconsistent results are the rule, not the exception, in the study of primate brain evolution.",https://doi.org/10.1371/journal.pone.0218655,31329603,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.08, Weighted sum of stars: 2.0,Very Good,20-Oct-21,Wartel A et al.,Negative / Null Results,
Effect of postoperative high load long duration inspiratory muscle training on pulmonary function and functional capacity after mitral valve replacement surgery: A randomized controlled trial with follow-up.,https://doi.org/10.1371/journal.pone.0256609,34449776,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.26, Weighted sum of stars: 1.0,Good,27-Sep-21,Hegazy FA et al.,Confirmation,
Platelet function testing using the Multiplate analyzer after administration of aspirin in Aachen minipigs.,https://doi.org/10.1371/journal.pone.0275756,36256639,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.66, Weighted sum of stars: 1.0,Good,20-Dec-22,Franz C et al.,Good for Teaching,
Subtyping of common complex diseases and disorders by integrating heterogeneous data. Identifying clusters among women with lower urinary tract symptoms in the LURN study.,https://doi.org/10.1371/journal.pone.0268547,35687541,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 1.0,Good,15-Dec-22,Andreev VP et al.,Good for Teaching,
Subtyping of common complex diseases and disorders by integrating heterogeneous data. Identifying clusters among women with lower urinary tract symptoms in the LURN study.,https://doi.org/10.1371/journal.pone.0268547,35687541,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 1.0,Good,15-Dec-22,Andreev VP et al.,Technical Advance,
Phenotype of POLE-mutated endometrial cancer.,https://doi.org/10.1371/journal.pone.0214318,30917185,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.85, Weighted sum of stars: 1.0,Good,10-Jul-22,Imboden S et al.,New Finding,
Sexuality in male partners of women with fibromyalgia syndrome: A qualitative study.,https://doi.org/10.1371/journal.pone.0224990,31774846,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.74, Weighted sum of stars: 2.0,Very Good,14-Dec-22,Romero-Alcalá P et al.,Good for Teaching,
Protein kinase A activity and anchoring are required for ovarian cancer cell migration and invasion.,https://doi.org/10.1371/journal.pone.0026552,22028904,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.2, Weighted sum of stars: 2.0,Very Good,7-Nov-11,McKenzie AJ et al.,New Finding,
Metabolic changes in vitamin D receptor knockout mice.,https://doi.org/10.1371/journal.pone.0267573,35714079,Score 4.6, Weighted sum of stars: 1.0,,Good,30-Jun-22,Lau SL et al.,Confirmation,
The impact of preovulatory versus midluteal serum progesterone level on live birth rates during fresh embryo transfer.,https://doi.org/10.1371/journal.pone.0246440,33571260,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.21, Weighted sum of stars: 2.0,Very Good,13-Jun-22,Benmachiche A et al.,Interesting Hypothesis,
The impact of preovulatory versus midluteal serum progesterone level on live birth rates during fresh embryo transfer.,https://doi.org/10.1371/journal.pone.0246440,33571260,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.21, Weighted sum of stars: 2.0,Very Good,13-Jun-22,Benmachiche A et al.,New Finding,
Protein kinase A activity and anchoring are required for ovarian cancer cell migration and invasion.,https://doi.org/10.1371/journal.pone.0026552,22028904,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.2, Weighted sum of stars: 2.0,Very Good,7-Nov-11,McKenzie AJ et al.,Technical Advance,
Effect of postoperative high load long duration inspiratory muscle training on pulmonary function and functional capacity after mitral valve replacement surgery: A randomized controlled trial with follow-up.,https://doi.org/10.1371/journal.pone.0256609,34449776,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.26, Weighted sum of stars: 1.0,Good,27-Sep-21,Hegazy FA et al.,New Finding,
"Excess mortality due to Covid-19? A comparison of total mortality in 2020 with total mortality in 2016 to 2019 in Germany, Sweden and Spain.",https://doi.org/10.1371/journal.pone.0255540,34343210,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.78, Weighted sum of stars: 4.0,Exceptional,21-Sep-21,Kowall B et al.,Good for Teaching,
The impact of preovulatory versus midluteal serum progesterone level on live birth rates during fresh embryo transfer.,https://doi.org/10.1371/journal.pone.0246440,33571260,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.21, Weighted sum of stars: 2.0,Very Good,13-Jun-22,Benmachiche A et al.,Technical Advance,
Comparative efficacy of prophylactic anticonvulsant drugs following traumatic brain injury: A systematic review and network meta-analysis of randomized controlled trials.,https://doi.org/10.1371/journal.pone.0265932,35358219,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.62, Weighted sum of stars: 2.0,Very Good,9-Jun-22,Wang BC et al.,Confirmation,
Comparative efficacy of prophylactic anticonvulsant drugs following traumatic brain injury: A systematic review and network meta-analysis of randomized controlled trials.,https://doi.org/10.1371/journal.pone.0265932,35358219,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.62, Weighted sum of stars: 2.0,Very Good,9-Jun-22,Wang BC et al.,Good for Teaching,
A biomimetic membrane device that modulates the excessive inflammatory response to sepsis.,https://doi.org/10.1371/journal.pone.0018584,21533222,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.14, Weighted sum of stars: 2.0,Very Good,6-Nov-11,Ding F et al.,Technical Advance,
Comparative efficacy of prophylactic anticonvulsant drugs following traumatic brain injury: A systematic review and network meta-analysis of randomized controlled trials.,https://doi.org/10.1371/journal.pone.0265932,35358219,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.62, Weighted sum of stars: 2.0,Very Good,9-Jun-22,Wang BC et al.,Negative / Null Results,
Relating neuronal to behavioral performance: variability of optomotor responses in the blowfly.,https://doi.org/10.1371/journal.pone.0026886,22066014,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.21, Weighted sum of stars: 1.0,Good,3-Nov-11,"Rosner R, Warzecha AK",,
