title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
The acquisition of clinically relevant amoxicillin resistance in Streptococcus pneumoniae requires ordered horizontal gene transfer of four loci.,https://doi.org/10.1371/journal.ppat.1010727,35877768,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.22, Weighted sum of stars: 2.0,Very Good,12 Dec 2022,Gibson PS et al.,New Finding
An Alba-domain protein required for proteome remodelling during trypanosome differentiation and host transition.,https://doi.org/10.1371/journal.ppat.1009239,33493187,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.46, Weighted sum of stars: 1.0,Good,14 Nov 2021,Bevkal S et al.,New Finding
Rab11a mediates cell-cell spread and reassortment of influenza A virus genomes via tunneling nanotubes.,https://doi.org/10.1371/journal.ppat.1009321,34473799,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.74, Weighted sum of stars: 1.0,Good,10 Oct 2021,Ganti K et al.,Good for Teaching
Rab11a mediates cell-cell spread and reassortment of influenza A virus genomes via tunneling nanotubes.,https://doi.org/10.1371/journal.ppat.1009321,34473799,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.74, Weighted sum of stars: 1.0,Good,10 Oct 2021,Ganti K et al.,Interesting Hypothesis
Essential roles for deubiquitination in Leishmania life cycle progression.,https://doi.org/10.1371/journal.ppat.1008455,32544189,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.29, Weighted sum of stars: 2.0,Very Good,04 May 2021,Damianou A et al.,Novel Drug Target
Differential recognition of HIV-stimulated IL-1β and IL-18 secretion through NLR and NAIP signalling in monocyte-derived macrophages.,https://doi.org/10.1371/journal.ppat.1009417,33861800,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.55, Weighted sum of stars: 2.0,Very Good,05 Oct 2022,Triantafilou K et al.,New Finding
Suppression of annexin A1 and its receptor reduces herpes simplex virus 1 lethality in mice.,https://doi.org/10.1371/journal.ppat.1010692,35939498,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 1.0,Good,21 Sep 2022,Wang LC et al.,New Finding
Rab11a mediates cell-cell spread and reassortment of influenza A virus genomes via tunneling nanotubes.,https://doi.org/10.1371/journal.ppat.1009321,34473799,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.74, Weighted sum of stars: 1.0,Good,10 Oct 2021,Ganti K et al.,New Finding
"Avian influenza A virus susceptibility, infection, transmission, and antibody kinetics in European starlings.",https://doi.org/10.1371/journal.ppat.1009879,34460868,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.38, Weighted sum of stars: 2.0,Very Good,27 Sep 2021,Ellis JW et al.,Controversial
Individuals cannot rely on COVID-19 herd immunity: Durable immunity to viral disease is limited to viruses with obligate viremic spread.,https://doi.org/10.1371/journal.ppat.1009509,33901246,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.99, Weighted sum of stars: 2.0,Very Good,29 Apr 2021,Yewdell JW,Interesting Hypothesis
"Avian influenza A virus susceptibility, infection, transmission, and antibody kinetics in European starlings.",https://doi.org/10.1371/journal.ppat.1009879,34460868,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.38, Weighted sum of stars: 2.0,Very Good,27 Sep 2021,Ellis JW et al.,Interesting Hypothesis
What is the risk of a deadly adenovirus pandemic?,https://doi.org/10.1371/journal.ppat.1009814,34473804,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.99, Weighted sum of stars: 4.0,Exceptional,26 Sep 2021,Kremer EJ,Controversial
What is the risk of a deadly adenovirus pandemic?,https://doi.org/10.1371/journal.ppat.1009814,34473804,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.99, Weighted sum of stars: 4.0,Exceptional,26 Sep 2021,Kremer EJ,Good for Teaching
Suppression of annexin A1 and its receptor reduces herpes simplex virus 1 lethality in mice.,https://doi.org/10.1371/journal.ppat.1010692,35939498,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 1.0,Good,21 Sep 2022,Wang LC et al.,Novel Drug Target
Suppression of annexin A1 and its receptor reduces herpes simplex virus 1 lethality in mice.,https://doi.org/10.1371/journal.ppat.1010692,35939498,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 1.0,Good,21 Sep 2022,Wang LC et al.,New Finding
What is the risk of a deadly adenovirus pandemic?,https://doi.org/10.1371/journal.ppat.1009814,34473804,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.99, Weighted sum of stars: 4.0,Exceptional,26 Sep 2021,Kremer EJ,Interesting Hypothesis
Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients.,https://doi.org/10.1371/journal.ppat.1009804,34529726,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.64, Weighted sum of stars: 1.0,Good,20 Sep 2021,Youngs J et al.,Confirmation
Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients.,https://doi.org/10.1371/journal.ppat.1009804,34529726,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.64, Weighted sum of stars: 1.0,Good,20 Sep 2021,Youngs J et al.,New Finding
The Chlamydia trachomatis secreted effector TmeA hijacks the N-WASP-ARP2/3 actin remodeling axis to facilitate cellular invasion.,https://doi.org/10.1371/journal.ppat.1008878,32946535,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 1.0,Good,08 Apr 2021,Faris R et al.,New Finding
Suppression of annexin A1 and its receptor reduces herpes simplex virus 1 lethality in mice.,https://doi.org/10.1371/journal.ppat.1010692,35939498,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 1.0,Good,21 Sep 2022,Wang LC et al.,Novel Drug Target
A novel mode of control of nickel uptake by a multifunctional metallochaperone.,https://doi.org/10.1371/journal.ppat.1009193,33444370,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.34, Weighted sum of stars: 4.0,Exceptional,25 Feb 2021,Denic M et al.,New Finding
Leishmania differentiation requires ubiquitin conjugation mediated by a UBC2-UEV1 E2 complex.,https://doi.org/10.1371/journal.ppat.1008784,33108402,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.03, Weighted sum of stars: 1.0,Good,15 Sep 2021,Burge RJ et al.,New Finding
Astrocytes promote a protective immune response to brain Toxoplasma gondii infection via IL-33-ST2 signaling.,https://doi.org/10.1371/journal.ppat.1009027,33108405,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.74, Weighted sum of stars: 1.0,Good,25 Aug 2021,Still KM et al.,New Finding
Salmonella Typhimurium discreet-invasion of the murine gut absorptive epithelium.,https://doi.org/10.1371/journal.ppat.1008503,32365138,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.13, Weighted sum of stars: 2.0,Very Good,24 May 2021,Fattinger SA et al.,Controversial
Salmonella Typhimurium discreet-invasion of the murine gut absorptive epithelium.,https://doi.org/10.1371/journal.ppat.1008503,32365138,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.13, Weighted sum of stars: 2.0,Very Good,24 May 2021,Fattinger SA et al.,New Finding
BATF3-dependent dendritic cells drive both effector and regulatory T-cell responses in bacterially infected tissues.,https://doi.org/10.1371/journal.ppat.1007866,31188899,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.56, Weighted sum of stars: 1.0,Good,24 Feb 2021,Arnold IC et al.,New Finding
The serogroup B meningococcal outer membrane vesicle-based vaccine 4CMenB induces cross-species protection against Neisseria gonorrhoeae.,https://doi.org/10.1371/journal.ppat.1008602,33290434,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.82, Weighted sum of stars: 2.0,Very Good,23 Feb 2021,Leduc I et al.,Confirmation
The serogroup B meningococcal outer membrane vesicle-based vaccine 4CMenB induces cross-species protection against Neisseria gonorrhoeae.,https://doi.org/10.1371/journal.ppat.1008602,33290434,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.82, Weighted sum of stars: 2.0,Very Good,23 Feb 2021,Leduc I et al.,Good for Teaching
The serogroup B meningococcal outer membrane vesicle-based vaccine 4CMenB induces cross-species protection against Neisseria gonorrhoeae.,https://doi.org/10.1371/journal.ppat.1008602,33290434,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.82, Weighted sum of stars: 2.0,Very Good,23 Feb 2021,Leduc I et al.,New Finding
Anaerobic peroxisomes in Entamoeba histolytica metabolize myo-inositol.,https://doi.org/10.1371/journal.ppat.1010041,34780573,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.51, Weighted sum of stars: 1.0,Good,27 Jul 2022,Verner Z et al.,New Finding
Anaerobic peroxisomes in Entamoeba histolytica metabolize myo-inositol.,https://doi.org/10.1371/journal.ppat.1010041,34780573,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.51, Weighted sum of stars: 1.0,Good,27 Jul 2022,Verner Z et al.,New Finding
Identification and characterisation of serotonin signalling in the potato cyst nematode Globodera pallida reveals new targets for crop protection.,https://doi.org/10.1371/journal.ppat.1008884,33007049,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.69, Weighted sum of stars: 4.0,Exceptional,25 Oct 2020,Crisford A et al.,New Finding
Identification and characterisation of serotonin signalling in the potato cyst nematode Globodera pallida reveals new targets for crop protection.,https://doi.org/10.1371/journal.ppat.1008884,33007049,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.69, Weighted sum of stars: 4.0,Exceptional,25 Oct 2020,Crisford A et al.,Novel Drug Target
"EhC2B, a C2 domain-containing protein, promotes erythrophagocytosis in Entamoeba histolytica via actin nucleation.",https://doi.org/10.1371/journal.ppat.1008489,32365140,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.55, Weighted sum of stars: 1.0,Good,23 Feb 2021,Tripathi A et al.,New Finding
Metabolic competition between host and pathogen dictates inflammasome responses to fungal infection.,https://doi.org/10.1371/journal.ppat.1008695,32750090,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.9, Weighted sum of stars: 1.0,Good,19 Jan 2021,Tucey TM et al.,Confirmation
Identification and characterisation of serotonin signalling in the potato cyst nematode Globodera pallida reveals new targets for crop protection.,https://doi.org/10.1371/journal.ppat.1008884,33007049,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.69, Weighted sum of stars: 4.0,Exceptional,25 Oct 2020,Crisford A et al.,Technical Advance
Metabolic competition between host and pathogen dictates inflammasome responses to fungal infection.,https://doi.org/10.1371/journal.ppat.1008695,32750090,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.9, Weighted sum of stars: 1.0,Good,19 Jan 2021,Tucey TM et al.,New Finding
Memory like NK cells display stem cell like properties after Zika virus infection.,https://doi.org/10.1371/journal.ppat.1009132,33370392,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.34, Weighted sum of stars: 2.0,Very Good,12 Jan 2021,Kujur W et al.,New Finding
Mutations in dnaA and a cryptic interaction site increase drug resistance in Mycobacterium tuberculosis.,https://doi.org/10.1371/journal.ppat.1009063,33253310,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.34, Weighted sum of stars: 1.0,Good,12 Jan 2021,Hicks ND et al.,New Finding
Prions activate a p38 MAPK synaptotoxic signaling pathway.,https://doi.org/10.1371/journal.ppat.1007283,30235355,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.72, Weighted sum of stars: 1.0,Good,15 Jun 2020,Fang C et al.,New Finding
Host syndecan-1 promotes listeriosis by inhibiting intravascular neutrophil extracellular traps.,https://doi.org/10.1371/journal.ppat.1008497,32453780,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 2.0,Very Good,14 Jun 2020,Aquino RS et al.,New Finding
Human parainfluenza virus fusion complex glycoproteins imaged in action on authentic viral surfaces.,https://doi.org/10.1371/journal.ppat.1008883,32956394,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.57, Weighted sum of stars: 4.0,Exceptional,22 Oct 2020,Marcink TC et al.,New Finding
Mutations in dnaA and a cryptic interaction site increase drug resistance in Mycobacterium tuberculosis.,https://doi.org/10.1371/journal.ppat.1009063,33253310,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.34, Weighted sum of stars: 1.0,Good,12 Jan 2021,Hicks ND et al.,Novel Drug Target
Broad-spectrum suppression of bacterial pneumonia by aminoglycoside-propagated Acinetobacter baumannii.,https://doi.org/10.1371/journal.ppat.1008374,32168364,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.34, Weighted sum of stars: 1.0,Good,20 Oct 2020,Hood-Pishchany MI et al.,New Finding
HIV infects astrocytes in vivo and egresses from the brain to the periphery.,https://doi.org/10.1371/journal.ppat.1008381,32525948,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.68, Weighted sum of stars: 2.0,Very Good,14 Oct 2020,Lutgen V et al.,Confirmation
Host syndecan-1 promotes listeriosis by inhibiting intravascular neutrophil extracellular traps.,https://doi.org/10.1371/journal.ppat.1008497,32453780,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 2.0,Very Good,14 Jun 2020,Aquino RS et al.,Novel Drug Target
Resolution of herpes simplex virus reactivation in vivo results in neuronal destruction.,https://doi.org/10.1371/journal.ppat.1008296,32134994,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.71, Weighted sum of stars: 2.0,Very Good,11 May 2020,Doll JR et al.,Controversial
Resolution of herpes simplex virus reactivation in vivo results in neuronal destruction.,https://doi.org/10.1371/journal.ppat.1008296,32134994,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.71, Weighted sum of stars: 2.0,Very Good,11 May 2020,Doll JR et al.,Good for Teaching
HIV infects astrocytes in vivo and egresses from the brain to the periphery.,https://doi.org/10.1371/journal.ppat.1008381,32525948,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.68, Weighted sum of stars: 2.0,Very Good,14 Oct 2020,Lutgen V et al.,New Finding
SARS-CoV-2 spike protein promotes IL-6 trans-signaling by activation of angiotensin II receptor signaling in epithelial cells.,https://doi.org/10.1371/journal.ppat.1009128,33284859,Score 18.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.99, Weighted sum of stars: 4.0,Exceptional,03 Jan 2021,Patra T et al.,New Finding
Resolution of herpes simplex virus reactivation in vivo results in neuronal destruction.,https://doi.org/10.1371/journal.ppat.1008296,32134994,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.71, Weighted sum of stars: 2.0,Very Good,11 May 2020,Doll JR et al.,New Finding
Interferon inducible GBPs restrict Burkholderia thailandensis motility induced cell-cell fusion.,https://doi.org/10.1371/journal.ppat.1008364,32150572,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.57, Weighted sum of stars: 1.0,Good,23 Apr 2020,Place DE et al.,New Finding
The possible role of cross-reactive dengue virus antibodies in Zika virus pathogenesis.,https://doi.org/10.1371/journal.ppat.1007640,30998804,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.91, Weighted sum of stars: 1.0,Good,17 Dec 2020,Langerak T et al.,Good for Teaching
Mast cells expedite control of pulmonary murine cytomegalovirus infection by enhancing the recruitment of protective CD8 T cells to the lungs.,https://doi.org/10.1371/journal.ppat.1004100,24763809,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.81, Weighted sum of stars: 4.0,Exceptional,15 Dec 2020,Ebert S et al.,Interesting Hypothesis
Viral infection triggers interferon-induced expulsion of live Cryptococcus neoformans by macrophages.,https://doi.org/10.1371/journal.ppat.1008240,32106253,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.42, Weighted sum of stars: 1.0,Good,13 Apr 2020,Seoane PI et al.,New Finding
Novel role of SARM1 mediated axonal degeneration in the pathogenesis of rabies.,https://doi.org/10.1371/journal.ppat.1008343,32069324,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.32, Weighted sum of stars: 1.0,Good,13 Oct 2020,Sundaramoorthy V et al.,New Finding
Molluscum contagiosum virus MC80 sabotages MHC-I antigen presentation by targeting tapasin for ER-associated degradation.,https://doi.org/10.1371/journal.ppat.1007711,31034515,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.81, Weighted sum of stars: 1.0,Good,16 Sep 2020,Harvey IB et al.,New Finding
Killing with proficiency: Integrated post-translational regulation of an offensive Type VI secretion system.,https://doi.org/10.1371/journal.ppat.1007230,30052683,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.97, Weighted sum of stars: 2.0,Very Good,02 Sep 2020,Ostrowski A et al.,Interesting Hypothesis
Listeria monocytogenes switches from dissemination to persistence by adopting a vacuolar lifestyle in epithelial cells.,https://doi.org/10.1371/journal.ppat.1006734,29190284,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.26, Weighted sum of stars: 1.0,Good,08 Apr 2020,Kortebi M et al.,New Finding
Mast cells expedite control of pulmonary murine cytomegalovirus infection by enhancing the recruitment of protective CD8 T cells to the lungs.,https://doi.org/10.1371/journal.ppat.1004100,24763809,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.81, Weighted sum of stars: 4.0,Exceptional,15 Dec 2020,Ebert S et al.,New Finding
p53 promotes ZDHHC1-mediated IFITM3 palmitoylation to inhibit Japanese encephalitis virus replication.,https://doi.org/10.1371/journal.ppat.1009035,33108395,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.81, Weighted sum of stars: 1.0,Good,17 Nov 2020,Wang X et al.,Confirmation
