title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Egg and cholesterol consumption and mortality from cardiovascular and different causes in the United States: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003508,33561122,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.22, Weighted sum of stars: 4.0,Exceptional,18 Mar 2021,Zhuang P et al.,Controversial
Assessing the neuroprotective benefits for babies of antenatal magnesium sulphate: An individual participant data meta-analysis.,https://doi.org/10.1371/journal.pmed.1002398,28976987,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.66, Weighted sum of stars: 1.0,Good,20 Nov 2019,Crowther CA et al.,New Finding
"Changes in rapid HIV treatment initiation after national ""treat all"" policy adoption in 6 sub-Saharan African countries: Regression discontinuity analysis.",https://doi.org/10.1371/journal.pmed.1002822,31181056,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.79, Weighted sum of stars: 1.0,Good,13 Oct 2019,Tymejczyk O et al.,Good for Teaching
Egg and cholesterol consumption and mortality from cardiovascular and different causes in the United States: A population-based cohort study.,https://doi.org/10.1371/journal.pmed.1003508,33561122,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.22, Weighted sum of stars: 4.0,Exceptional,18 Mar 2021,Zhuang P et al.,New Finding
Dietary fibre and whole grains in diabetes management: Systematic review and meta-analyses.,https://doi.org/10.1371/journal.pmed.1003053,32142510,Score 19.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 17.18, Weighted sum of stars: 4.0,Exceptional,26 Aug 2020,Reynolds AN et al.,Controversial
Dietary fibre and whole grains in diabetes management: Systematic review and meta-analyses.,https://doi.org/10.1371/journal.pmed.1003053,32142510,Score 19.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 17.18, Weighted sum of stars: 4.0,Exceptional,26 Aug 2020,Reynolds AN et al.,New Finding
"Silk garments plus standard care compared with standard care for treating eczema in children: A randomised, controlled, observer-blind, pragmatic trial (CLOTHES Trial).",https://doi.org/10.1371/journal.pmed.1002280,28399154,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.11, Weighted sum of stars: 2.0,Very Good,08 May 2017,Thomas KS et al.,Changes Clinical Practice
The vast and varied global burden of norovirus: prospects for prevention and control.,https://doi.org/10.1371/journal.pmed.1001999,27115709,Score 9.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.07, Weighted sum of stars: 2.0,Very Good,17 Jan 2017,Lopman BA et al.,Good for Teaching
Why most clinical research is not useful.,https://doi.org/10.1371/journal.pmed.1002049,27328301,Score 37.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 13.82, Weighted sum of stars: 8.0,Exceptional,04 Jul 2016,Ioannidis JP,Confirmation
Why most clinical research is not useful.,https://doi.org/10.1371/journal.pmed.1002049,27328301,Score 37.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 13.82, Weighted sum of stars: 8.0,Exceptional,04 Jul 2016,Ioannidis JP,Controversial
Why most clinical research is not useful.,https://doi.org/10.1371/journal.pmed.1002049,27328301,Score 37.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 13.82, Weighted sum of stars: 8.0,Exceptional,04 Jul 2016,Ioannidis JP,Good for Teaching
Why most clinical research is not useful.,https://doi.org/10.1371/journal.pmed.1002049,27328301,Score 37.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 13.82, Weighted sum of stars: 8.0,Exceptional,04 Jul 2016,Ioannidis JP,Interesting Hypothesis
Why most clinical research is not useful.,https://doi.org/10.1371/journal.pmed.1002049,27328301,Score 37.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 13.82, Weighted sum of stars: 8.0,Exceptional,04 Jul 2016,Ioannidis JP,New Finding
Why most clinical research is not useful.,https://doi.org/10.1371/journal.pmed.1002049,27328301,Score 37.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 13.82, Weighted sum of stars: 8.0,Exceptional,04 Jul 2016,Ioannidis JP,Technical Advance
Initiating antiretroviral therapy for HIV at a patient's first clinic visit: the rapit randomized controlled trial.,https://doi.org/10.1371/journal.pmed.1002015,27163694,Score 9.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 10.93, Weighted sum of stars: 2.0,Very Good,31 Jul 2016,Rosen S et al.,Good for Teaching
Initiating antiretroviral therapy for HIV at a patient's first clinic visit: the rapit randomized controlled trial.,https://doi.org/10.1371/journal.pmed.1002015,27163694,Score 9.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 10.93, Weighted sum of stars: 2.0,Very Good,31 Jul 2016,Rosen S et al.,New Finding
"Changes in rapid HIV treatment initiation after national ""treat all"" policy adoption in 6 sub-Saharan African countries: Regression discontinuity analysis.",https://doi.org/10.1371/journal.pmed.1002822,31181056,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.79, Weighted sum of stars: 1.0,Good,13 Oct 2019,Tymejczyk O et al.,New Finding
"Pharmacokinetics, optimal dosing, and safety of linezolid in children with multidrug-resistant tuberculosis: Combined data from two prospective observational studies.",https://doi.org/10.1371/journal.pmed.1002789,31039153,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 2.0,Very Good,10 Sep 2019,Garcia-Prats AJ et al.,New Finding
Organophosphate exposures during pregnancy and child neurodevelopment: Recommendations for essential policy reforms.,https://doi.org/10.1371/journal.pmed.1002671,30356230,Score 5.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.96, Weighted sum of stars: 1.0,Good,15 May 2019,Hertz-Picciotto I et al.,Controversial
Organophosphate exposures during pregnancy and child neurodevelopment: Recommendations for essential policy reforms.,https://doi.org/10.1371/journal.pmed.1002671,30356230,Score 5.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.96, Weighted sum of stars: 1.0,Good,15 May 2019,Hertz-Picciotto I et al.,Good for Teaching
P2RX7 purinoceptor: a therapeutic target for ameliorating the symptoms of duchenne muscular dystrophy.,https://doi.org/10.1371/journal.pmed.1001888,26461208,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.87, Weighted sum of stars: 4.0,Exceptional,05 May 2016,Sinadinos A et al.,Good for Teaching
P2RX7 purinoceptor: a therapeutic target for ameliorating the symptoms of duchenne muscular dystrophy.,https://doi.org/10.1371/journal.pmed.1001888,26461208,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.87, Weighted sum of stars: 4.0,Exceptional,05 May 2016,Sinadinos A et al.,New Finding
Organophosphate exposures during pregnancy and child neurodevelopment: Recommendations for essential policy reforms.,https://doi.org/10.1371/journal.pmed.1002671,30356230,Score 5.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.96, Weighted sum of stars: 1.0,Good,15 May 2019,Hertz-Picciotto I et al.,New Finding
Type 2 diabetes genetic loci informed by multi-trait associations point to disease mechanisms and subtypes: A soft clustering analysis.,https://doi.org/10.1371/journal.pmed.1002654,30240442,Score 19.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 11.07, Weighted sum of stars: 4.0,Exceptional,29 Jan 2019,Udler MS et al.,Interesting Hypothesis
Type 2 diabetes genetic loci informed by multi-trait associations point to disease mechanisms and subtypes: A soft clustering analysis.,https://doi.org/10.1371/journal.pmed.1002654,30240442,Score 19.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 11.07, Weighted sum of stars: 4.0,Exceptional,29 Jan 2019,Udler MS et al.,New Finding
P2RX7 purinoceptor: a therapeutic target for ameliorating the symptoms of duchenne muscular dystrophy.,https://doi.org/10.1371/journal.pmed.1001888,26461208,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.87, Weighted sum of stars: 4.0,Exceptional,05 May 2016,Sinadinos A et al.,Novel Drug Target
"A research agenda for malaria eradication: monitoring, evaluation, and surveillance.",https://doi.org/10.1371/journal.pmed.1000400,21311581,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.76, Weighted sum of stars: 2.0,Very Good,19 Oct 2014,"malERA Consultative Group on Monitoring, Evaluation, and Surveillance",Good for Teaching
MPLW515L is a novel somatic activating mutation in myelofibrosis with myeloid metaplasia.,https://doi.org/10.1371/journal.pmed.0030270,16834459,Score 10.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 21.16, Weighted sum of stars: 2.0,Good,06 Dec 2006,Pikman Y et al.,New Finding
Spatial and temporal heterogeneity in high-grade serous ovarian cancer: a phylogenetic analysis.,https://doi.org/10.1371/journal.pmed.1001789,25710373,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.29, Weighted sum of stars: 2.0,Good,09 Apr 2015,Schwarz RF et al.,Confirmation
Spatial and temporal heterogeneity in high-grade serous ovarian cancer: a phylogenetic analysis.,https://doi.org/10.1371/journal.pmed.1001789,25710373,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.29, Weighted sum of stars: 2.0,Good,09 Apr 2015,Schwarz RF et al.,New Finding
A research agenda for malaria eradication: diagnoses and diagnostics.,https://doi.org/10.1371/journal.pmed.1000396,21311583,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.15, Weighted sum of stars: 2.0,Very Good,19 Oct 2014,malERA Consultative Group on Diagnoses and Diagnostics,Good for Teaching
Spatial and temporal heterogeneity in high-grade serous ovarian cancer: a phylogenetic analysis.,https://doi.org/10.1371/journal.pmed.1001789,25710373,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.29, Weighted sum of stars: 2.0,Good,09 Apr 2015,Schwarz RF et al.,Technical Advance
Herpes zoster vaccine effectiveness against incident herpes zoster and post-herpetic neuralgia in an older US population: a cohort study.,https://doi.org/10.1371/journal.pmed.1001420,23585738,Score 23.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.43, Weighted sum of stars: 5.0,Exceptional,22 May 2013,Langan SM et al.,Confirmation
Fatty acid biomarkers of dairy fat consumption and incidence of type 2 diabetes: A pooled analysis of prospective cohort studies.,https://doi.org/10.1371/journal.pmed.1002670,30303968,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.32, Weighted sum of stars: 2.0,Very Good,21 Oct 2018,Imamura F et al.,Controversial
Treatment and outcomes in children with multidrug-resistant tuberculosis: A systematic review and individual patient data meta-analysis.,https://doi.org/10.1371/journal.pmed.1002591,29995958,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.91, Weighted sum of stars: 2.0,Very Good,18 Oct 2018,Harausz EP et al.,Good for Teaching
Treatment and outcomes in children with multidrug-resistant tuberculosis: A systematic review and individual patient data meta-analysis.,https://doi.org/10.1371/journal.pmed.1002591,29995958,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.91, Weighted sum of stars: 2.0,Very Good,18 Oct 2018,Harausz EP et al.,New Finding
Seasonal plasticity of cognition and related biological measures in adults with and without Alzheimer disease: Analysis of multiple cohorts.,https://doi.org/10.1371/journal.pmed.1002647,30180184,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.83, Weighted sum of stars: 1.0,Good,16 Sep 2018,Lim ASP et al.,Interesting Hypothesis
Seasonal plasticity of cognition and related biological measures in adults with and without Alzheimer disease: Analysis of multiple cohorts.,https://doi.org/10.1371/journal.pmed.1002647,30180184,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.83, Weighted sum of stars: 1.0,Good,16 Sep 2018,Lim ASP et al.,New Finding
Barriers to provider-initiated testing and counselling for children in a high HIV prevalence setting: a mixed methods study.,https://doi.org/10.1371/journal.pmed.1001649,24866209,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.95, Weighted sum of stars: 2.0,Very Good,20 Aug 2014,Kranzer K et al.,Good for Teaching
Red blood cell transfusion and mortality in trauma patients: risk-stratified analysis of an observational study.,https://doi.org/10.1371/journal.pmed.1001664,24937305,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.58, Weighted sum of stars: 2.0,Very Good,24 Jun 2014,Perel P et al.,Confirmation
Herpes zoster vaccine effectiveness against incident herpes zoster and post-herpetic neuralgia in an older US population: a cohort study.,https://doi.org/10.1371/journal.pmed.1001420,23585738,Score 23.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.43, Weighted sum of stars: 5.0,Exceptional,22 May 2013,Langan SM et al.,Good for Teaching
"Changes in association between previous therapeutic abortion and preterm birth in Scotland, 1980 to 2008: a historical cohort study.",https://doi.org/10.1371/journal.pmed.1001481,23874161,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.08, Weighted sum of stars: 2.0,Very Good,12 Nov 2015,Oliver-Williams C et al.,Changes Clinical Practice
Red blood cell transfusion and mortality in trauma patients: risk-stratified analysis of an observational study.,https://doi.org/10.1371/journal.pmed.1001664,24937305,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.58, Weighted sum of stars: 2.0,Very Good,24 Jun 2014,Perel P et al.,Good for Teaching
Acupuncture and counselling for depression in primary care: a randomised controlled trial.,https://doi.org/10.1371/journal.pmed.1001518,24086114,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.66, Weighted sum of stars: 2.0,Very Good,08 May 2014,MacPherson H et al.,New Finding
First diagnosis and management of incontinence in older people with and without dementia in primary care: a cohort study using The Health Improvement Network primary care database.,https://doi.org/10.1371/journal.pmed.1001505,24015113,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.08, Weighted sum of stars: 2.0,Very Good,22 Apr 2014,Grant RL et al.,Good for Teaching
"Changes in association between previous therapeutic abortion and preterm birth in Scotland, 1980 to 2008: a historical cohort study.",https://doi.org/10.1371/journal.pmed.1001481,23874161,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.08, Weighted sum of stars: 2.0,Very Good,12 Nov 2015,Oliver-Williams C et al.,Confirmation
Ultra-sensitive detection of Plasmodium falciparum by amplification of multi-copy subtelomeric targets.,https://doi.org/10.1371/journal.pmed.1001788,25734259,Score 9.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 11.08, Weighted sum of stars: 2.0,Very Good,19 Mar 2015,Hofmann N et al.,Technical Advance
"Developmental profiles of eczema, wheeze, and rhinitis: two population-based birth cohort studies.",https://doi.org/10.1371/journal.pmed.1001748,25335105,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.53, Weighted sum of stars: 2.0,Very Good,10 Nov 2014,Belgrave DC et al.,Good for Teaching
"Developmental profiles of eczema, wheeze, and rhinitis: two population-based birth cohort studies.",https://doi.org/10.1371/journal.pmed.1001748,25335105,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.53, Weighted sum of stars: 2.0,Very Good,10 Nov 2014,Belgrave DC et al.,Interesting Hypothesis
"Developmental profiles of eczema, wheeze, and rhinitis: two population-based birth cohort studies.",https://doi.org/10.1371/journal.pmed.1001748,25335105,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.53, Weighted sum of stars: 2.0,Very Good,10 Nov 2014,Belgrave DC et al.,New Finding
