title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Plant virus movement proteins originated from jelly-roll capsid proteins.,https://doi.org/10.1371/journal.pbio.3002157,37319262,Score 9.2, Weighted sum of stars: 2.0,,Very Good,30 Jul 2023,Butkovic A et al.,Interesting Hypothesis
Systematically assessing microbiome-disease associations identifies drivers of inconsistency in metagenomic research.,https://doi.org/10.1371/journal.pbio.3001556,35235560,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 2.0,Very Good,31 Mar 2022,Tierney BT et al.,Refutation
cNap1 bridges centriole contact sites to maintain centrosome cohesion.,https://doi.org/10.1371/journal.pbio.3001854,36282799,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.81, Weighted sum of stars: 1.0,Good,02 Nov 2022,Mahen R,Technical Advance
Initiation of wound healing is regulated by the convergence of mechanical and epigenetic cues.,https://doi.org/10.1371/journal.pbio.3001777,36112666,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.58, Weighted sum of stars: 1.0,Good,01 Nov 2022,Bhatt T et al.,Interesting Hypothesis
Plant virus movement proteins originated from jelly-roll capsid proteins.,https://doi.org/10.1371/journal.pbio.3002157,37319262,Score 9.2, Weighted sum of stars: 2.0,,Very Good,30 Jul 2023,Butkovic A et al.,New Finding
Initiation of wound healing is regulated by the convergence of mechanical and epigenetic cues.,https://doi.org/10.1371/journal.pbio.3001777,36112666,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.58, Weighted sum of stars: 1.0,Good,01 Nov 2022,Bhatt T et al.,New Finding
"Erebosis, a new cell death mechanism during homeostatic turnover of gut enterocytes.",https://doi.org/10.1371/journal.pbio.3001586,35468130,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.27, Weighted sum of stars: 4.0,Very Good,13 Jun 2022,Ciesielski HM et al.,Good for Teaching
"Erebosis, a new cell death mechanism during homeostatic turnover of gut enterocytes.",https://doi.org/10.1371/journal.pbio.3001586,35468130,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.27, Weighted sum of stars: 4.0,Very Good,13 Jun 2022,Ciesielski HM et al.,Interesting Hypothesis
Genome-wide sexually antagonistic variants reveal long-standing constraints on sexual dimorphism in fruit flies.,https://doi.org/10.1371/journal.pbio.3000244,31022179,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.43, Weighted sum of stars: 2.0,Very Good,29 Mar 2022,Ruzicka F et al.,New Finding
The endoplasmic reticulum proteostasis network profoundly shapes the protein sequence space accessible to HIV envelope.,https://doi.org/10.1371/journal.pbio.3001569,35180219,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.78, Weighted sum of stars: 2.0,Very Good,28 Mar 2022,Yoon J et al.,Confirmation
Blind spots on western blots: Assessment of common problems in western blot figures and methods reporting with recommendations to improve them.,https://doi.org/10.1371/journal.pbio.3001783,36095010,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.89, Weighted sum of stars: 2.0,Very Good,04 Jul 2023,Kroon C et al.,Good for Teaching
Live imaging of the Cryptosporidium parvum life cycle reveals direct development of male and female gametes from type I meronts.,https://doi.org/10.1371/journal.pbio.3001604,35436284,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.61, Weighted sum of stars: 2.0,Very Good,08 Mar 2023,English ED et al.,Good for Teaching
"Erebosis, a new cell death mechanism during homeostatic turnover of gut enterocytes.",https://doi.org/10.1371/journal.pbio.3001586,35468130,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.27, Weighted sum of stars: 4.0,Very Good,13 Jun 2022,Ciesielski HM et al.,New Finding
A versatile new tool derived from a bacterial deubiquitylase to detect and purify ubiquitylated substrates and their interacting proteins.,https://doi.org/10.1371/journal.pbio.3001501,35771886,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.42, Weighted sum of stars: 1.0,Good,07 Aug 2022,Zhang M et al.,New Finding
The endoplasmic reticulum proteostasis network profoundly shapes the protein sequence space accessible to HIV envelope.,https://doi.org/10.1371/journal.pbio.3001569,35180219,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.78, Weighted sum of stars: 2.0,Very Good,28 Mar 2022,Yoon J et al.,New Finding
Fos regulates macrophage infiltration against surrounding tissue resistance by a cortical actin-based mechanism in Drosophila.,https://doi.org/10.1371/journal.pbio.3001494,34990456,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.29, Weighted sum of stars: 1.0,Good,27 Mar 2022,Belyaeva V et al.,Interesting Hypothesis
A versatile new tool derived from a bacterial deubiquitylase to detect and purify ubiquitylated substrates and their interacting proteins.,https://doi.org/10.1371/journal.pbio.3001501,35771886,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.42, Weighted sum of stars: 1.0,Good,07 Aug 2022,Zhang M et al.,Technical Advance
An alternative mode of epithelial polarity in the Drosophila midgut.,https://doi.org/10.1371/journal.pbio.3000041,30339698,Score 32.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.82, Weighted sum of stars: 7.0,Very Good,30 Oct 2018,Chen J et al.,Confirmation
An alternative mode of epithelial polarity in the Drosophila midgut.,https://doi.org/10.1371/journal.pbio.3000041,30339698,Score 32.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.82, Weighted sum of stars: 7.0,Very Good,30 Oct 2018,Chen J et al.,Good for Teaching
An alternative mode of epithelial polarity in the Drosophila midgut.,https://doi.org/10.1371/journal.pbio.3000041,30339698,Score 32.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.82, Weighted sum of stars: 7.0,Very Good,30 Oct 2018,Chen J et al.,Interesting Hypothesis
An alternative mode of epithelial polarity in the Drosophila midgut.,https://doi.org/10.1371/journal.pbio.3000041,30339698,Score 32.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.82, Weighted sum of stars: 7.0,Very Good,30 Oct 2018,Chen J et al.,Negative / Null Results
An alternative mode of epithelial polarity in the Drosophila midgut.,https://doi.org/10.1371/journal.pbio.3000041,30339698,Score 32.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.82, Weighted sum of stars: 7.0,Very Good,30 Oct 2018,Chen J et al.,New Finding
Fos regulates macrophage infiltration against surrounding tissue resistance by a cortical actin-based mechanism in Drosophila.,https://doi.org/10.1371/journal.pbio.3001494,34990456,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.29, Weighted sum of stars: 1.0,Good,27 Mar 2022,Belyaeva V et al.,New Finding
Live imaging of the Cryptosporidium parvum life cycle reveals direct development of male and female gametes from type I meronts.,https://doi.org/10.1371/journal.pbio.3001604,35436284,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.61, Weighted sum of stars: 2.0,Very Good,08 Mar 2023,English ED et al.,New Finding
Dorsal root ganglia control nociceptive input to the central nervous system.,https://doi.org/10.1371/journal.pbio.3001958,36603052,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4, Weighted sum of stars: 4.0,Exceptional,27 Feb 2023,Hao H et al.,Interesting Hypothesis
Dorsal root ganglia control nociceptive input to the central nervous system.,https://doi.org/10.1371/journal.pbio.3001958,36603052,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4, Weighted sum of stars: 4.0,Exceptional,27 Feb 2023,Hao H et al.,New Finding
An alternative mode of epithelial polarity in the Drosophila midgut.,https://doi.org/10.1371/journal.pbio.3000041,30339698,Score 32.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.82, Weighted sum of stars: 7.0,Very Good,30 Oct 2018,Chen J et al.,Refutation
The structural context of posttranslational modifications at a proteome-wide scale.,https://doi.org/10.1371/journal.pbio.3001636,35576205,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.77, Weighted sum of stars: 2.0,Very Good,20 Jun 2022,Bludau I et al.,New Finding
The structural context of posttranslational modifications at a proteome-wide scale.,https://doi.org/10.1371/journal.pbio.3001636,35576205,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.77, Weighted sum of stars: 2.0,Very Good,20 Jun 2022,Bludau I et al.,Technical Advance
Endomitosis controls tissue-specific gene expression during development.,https://doi.org/10.1371/journal.pbio.3001597,35609035,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.91, Weighted sum of stars: 2.0,Very Good,20 Jun 2022,van Rijnberk LM et al.,Interesting Hypothesis
Creating clear and informative image-based figures for scientific publications.,https://doi.org/10.1371/journal.pbio.3001161,33788834,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.46, Weighted sum of stars: 2.0,Very Good,28 Feb 2022,Jambor H et al.,Good for Teaching
The evolving role of preprints in the dissemination of COVID-19 research and their impact on the science communication landscape.,https://doi.org/10.1371/journal.pbio.3000959,33798194,Score 10.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 15.21, Weighted sum of stars: 2.0,Very Good,27 Feb 2022,Fraser N et al.,New Finding
Endomitosis controls tissue-specific gene expression during development.,https://doi.org/10.1371/journal.pbio.3001597,35609035,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.91, Weighted sum of stars: 2.0,Very Good,20 Jun 2022,van Rijnberk LM et al.,New Finding
Individual bacteria in structured environments rely on phenotypic resistance to phage.,https://doi.org/10.1371/journal.pbio.3001406,34637438,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.09, Weighted sum of stars: 2.0,Very Good,05 Jun 2022,Attrill EL et al.,New Finding
Occludin is a target of Src kinase and promotes lipid secretion by binding to BTN1a1 and XOR.,https://doi.org/10.1371/journal.pbio.3001518,35041644,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.63, Weighted sum of stars: 2.0,Very Good,23 Feb 2022,Lu Y et al.,Good for Teaching
Occludin is a target of Src kinase and promotes lipid secretion by binding to BTN1a1 and XOR.,https://doi.org/10.1371/journal.pbio.3001518,35041644,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.63, Weighted sum of stars: 2.0,Very Good,23 Feb 2022,Lu Y et al.,New Finding
Expansion microscopy provides new insights into the cytoskeleton of malaria parasites including the conservation of a conoid.,https://doi.org/10.1371/journal.pbio.3001020,33705377,Score 18.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.76, Weighted sum of stars: 4.0,Exceptional,09 Feb 2022,Bertiaux E et al.,New Finding
Receptor-mediated yolk uptake is required for oskar mRNA localization and cortical anchorage of germ plasm components in the Drosophila oocyte.,https://doi.org/10.1371/journal.pbio.3001183,33891588,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.59, Weighted sum of stars: 2.0,Very Good,26 May 2021,Tanaka T et al.,Confirmation
Receptor-mediated yolk uptake is required for oskar mRNA localization and cortical anchorage of germ plasm components in the Drosophila oocyte.,https://doi.org/10.1371/journal.pbio.3001183,33891588,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.59, Weighted sum of stars: 2.0,Very Good,26 May 2021,Tanaka T et al.,Interesting Hypothesis
Expansion microscopy provides new insights into the cytoskeleton of malaria parasites including the conservation of a conoid.,https://doi.org/10.1371/journal.pbio.3001020,33705377,Score 18.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.76, Weighted sum of stars: 4.0,Exceptional,09 Feb 2022,Bertiaux E et al.,Technical Advance
"Molecular characterization of the conoid complex in Toxoplasma reveals its conservation in all apicomplexans, including Plasmodium species.",https://doi.org/10.1371/journal.pbio.3001081,33705380,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.32, Weighted sum of stars: 4.0,Exceptional,09 Feb 2022,Koreny L et al.,New Finding
Structure of the Lifeact-F-actin complex.,https://doi.org/10.1371/journal.pbio.3000925,33216759,Score 27.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.92, Weighted sum of stars: 6.0,Exceptional,04 May 2021,Belyy A et al.,Good for Teaching
Structure of the Lifeact-F-actin complex.,https://doi.org/10.1371/journal.pbio.3000925,33216759,Score 27.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.92, Weighted sum of stars: 6.0,Exceptional,04 May 2021,Belyy A et al.,New Finding
Receptor-mediated yolk uptake is required for oskar mRNA localization and cortical anchorage of germ plasm components in the Drosophila oocyte.,https://doi.org/10.1371/journal.pbio.3001183,33891588,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.59, Weighted sum of stars: 2.0,Very Good,26 May 2021,Tanaka T et al.,New Finding
Cell-based and multi-omics profiling reveals dynamic metabolic repurposing of mitochondria to drive developmental progression of Trypanosoma brucei.,https://doi.org/10.1371/journal.pbio.3000741,32520929,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.15, Weighted sum of stars: 2.0,Good,02 Jul 2020,Doleželová E et al.,Interesting Hypothesis
Cell-based and multi-omics profiling reveals dynamic metabolic repurposing of mitochondria to drive developmental progression of Trypanosoma brucei.,https://doi.org/10.1371/journal.pbio.3000741,32520929,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.15, Weighted sum of stars: 2.0,Good,02 Jul 2020,Doleželová E et al.,New Finding
"Molecular characterization of the conoid complex in Toxoplasma reveals its conservation in all apicomplexans, including Plasmodium species.",https://doi.org/10.1371/journal.pbio.3001081,33705380,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.32, Weighted sum of stars: 4.0,Exceptional,09 Feb 2022,Koreny L et al.,Technical Advance
The growth factor BMP11 is required for the development and evolution of a male exaggerated weapon and its associated fighting behavior in a water strider.,https://doi.org/10.1371/journal.pbio.3001157,33974625,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.88, Weighted sum of stars: 2.0,Very Good,21 Dec 2021,Toubiana W et al.,New Finding
Deep learning allows genome-scale prediction of Michaelis constants from structural features.,https://doi.org/10.1371/journal.pbio.3001402,34665809,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.32, Weighted sum of stars: 2.0,Very Good,20 Dec 2021,Kroll A et al.,Good for Teaching
Ectoderm to mesoderm transition by down-regulation of actomyosin contractility.,https://doi.org/10.1371/journal.pbio.3001060,33406067,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.77, Weighted sum of stars: 1.0,Good,11 Mar 2021,Kashkooli L et al.,Interesting Hypothesis
Identification of 3' UTR motifs required for mRNA localization to myelin sheaths in vivo.,https://doi.org/10.1371/journal.pbio.3001053,33439856,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.06, Weighted sum of stars: 2.0,Very Good,10 Feb 2021,Yergert KM et al.,Interesting Hypothesis
Identification of 3' UTR motifs required for mRNA localization to myelin sheaths in vivo.,https://doi.org/10.1371/journal.pbio.3001053,33439856,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.06, Weighted sum of stars: 2.0,Very Good,10 Feb 2021,Yergert KM et al.,New Finding
Structure of the Lifeact-F-actin complex.,https://doi.org/10.1371/journal.pbio.3000925,33216759,Score 27.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.92, Weighted sum of stars: 6.0,Exceptional,04 May 2021,Belyy A et al.,Technical Advance
α-Synuclein fibrils subvert lysosome structure and function for the propagation of protein misfolding between cells through tunneling nanotubes.,https://doi.org/10.1371/journal.pbio.3001287,34283825,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.46, Weighted sum of stars: 2.0,Very Good,30 Sep 2021,Dilsizoglu Senol A et al.,New Finding
α-Synuclein fibrils subvert lysosome structure and function for the propagation of protein misfolding between cells through tunneling nanotubes.,https://doi.org/10.1371/journal.pbio.3001287,34283825,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.46, Weighted sum of stars: 2.0,Very Good,30 Sep 2021,Dilsizoglu Senol A et al.,Novel Drug Target
α-Synuclein fibrils subvert lysosome structure and function for the propagation of protein misfolding between cells through tunneling nanotubes.,https://doi.org/10.1371/journal.pbio.3001287,34283825,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.46, Weighted sum of stars: 2.0,Very Good,30 Sep 2021,Dilsizoglu Senol A et al.,Technical Advance
Dynamic patterns of correlated activity in the prefrontal cortex encode information about social behavior.,https://doi.org/10.1371/journal.pbio.3001235,33939689,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.51, Weighted sum of stars: 4.0,Exceptional,08 Sep 2021,Frost NA et al.,New Finding
Resident microbial communities inhibit growth and antibiotic-resistance evolution of Escherichia coli in human gut microbiome samples.,https://doi.org/10.1371/journal.pbio.3000465,32310938,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.38, Weighted sum of stars: 1.0,Good,07 Feb 2021,Baumgartner M et al.,New Finding
