title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications,
Light affects behavioral despair involving the clock gene Period 1.,https://doi.org/10.1371/journal.pgen.1009625,34237069,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 2.0,Very Good,8-Aug-21,Olejniczak I et al.,Good for Teaching,
Light affects behavioral despair involving the clock gene Period 1.,https://doi.org/10.1371/journal.pgen.1009625,34237069,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 2.0,Very Good,8-Aug-21,Olejniczak I et al.,Interesting Hypothesis,
Light affects behavioral despair involving the clock gene Period 1.,https://doi.org/10.1371/journal.pgen.1009625,34237069,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 2.0,Very Good,8-Aug-21,Olejniczak I et al.,New Finding,
Chromatin accessibility and gene expression during adipocyte differentiation identify context-dependent effects at cardiometabolic GWAS loci.,https://doi.org/10.1371/journal.pgen.1009865,34699533,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 4.0,Exceptional,17-Jan-22,Perrin HJ et al.,New Finding,
A rare coding mutation in the MAST2 gene causes venous thrombosis in a French family with unexplained thrombophilia: The Breizh MAST2 Arg89Gln variant.,https://doi.org/10.1371/journal.pgen.1009284,33465109,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.32, Weighted sum of stars: 1.0,Good,2-Mar-21,Morange PE et al.,New Finding,
Genome-wide analyses of light-regulated genes in Aspergillus nidulans reveal a complex interplay between different photoreceptors and novel photoreceptor functions.,https://doi.org/10.1371/journal.pgen.1009845,34679095,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.78, Weighted sum of stars: 1.0,Good,8-Dec-21,Yu Z et al.,Good for Teaching,
Nationwide germline whole genome sequencing of 198 consecutive pediatric cancer patients reveals a high incidence of cancer prone syndromes.,https://doi.org/10.1371/journal.pgen.1009231,33332384,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.32, Weighted sum of stars: 1.0,Good,6-Jan-21,Byrjalsen A et al.,Confirmation,
Nationwide germline whole genome sequencing of 198 consecutive pediatric cancer patients reveals a high incidence of cancer prone syndromes.,https://doi.org/10.1371/journal.pgen.1009231,33332384,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.32, Weighted sum of stars: 1.0,Good,6-Jan-21,Byrjalsen A et al.,Good for Teaching,
Light affects behavioral despair involving the clock gene Period 1.,https://doi.org/10.1371/journal.pgen.1009625,34237069,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.86, Weighted sum of stars: 2.0,Very Good,8-Aug-21,Olejniczak I et al.,Novel Drug Target,
Low affinity binding sites in an activating CRM mediate negative autoregulation of the Drosophila Hox gene Ultrabithorax.,https://doi.org/10.1371/journal.pgen.1008444,31589607,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.86, Weighted sum of stars: 2.0,Very Good,5-Aug-21,Delker RK et al.,Good for Teaching,
Genome-wide analyses of light-regulated genes in Aspergillus nidulans reveal a complex interplay between different photoreceptors and novel photoreceptor functions.,https://doi.org/10.1371/journal.pgen.1009845,34679095,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.78, Weighted sum of stars: 1.0,Good,8-Dec-21,Yu Z et al.,New Finding,
Nationwide germline whole genome sequencing of 198 consecutive pediatric cancer patients reveals a high incidence of cancer prone syndromes.,https://doi.org/10.1371/journal.pgen.1009231,33332384,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.32, Weighted sum of stars: 1.0,Good,6-Jan-21,Byrjalsen A et al.,New Finding,
Low affinity binding sites in an activating CRM mediate negative autoregulation of the Drosophila Hox gene Ultrabithorax.,https://doi.org/10.1371/journal.pgen.1008444,31589607,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.86, Weighted sum of stars: 2.0,Very Good,5-Aug-21,Delker RK et al.,New Finding,
Regulation of the plastochron by three many-noded dwarf genes in barley.,https://doi.org/10.1371/journal.pgen.1009292,33970916,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.2, Weighted sum of stars: 1.0,Good,2-Jun-21,Hibara KI et al.,Interesting Hypothesis,
Are drug targets with genetic support twice as likely to be approved? Revised estimates of the impact of genetic support for drug mechanisms on the probability of drug approval.,https://doi.org/10.1371/journal.pgen.1008489,31830040,Score 5.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 10.71, Weighted sum of stars: 1.0,Good,11-Nov-21,King EA et al.,Interesting Hypothesis,
Discovery of photosynthesis genes through whole-genome sequencing of acetate-requiring mutants of Chlamydomonas reinhardtii.,https://doi.org/10.1371/journal.pgen.1009725,34492001,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.35, Weighted sum of stars: 1.0,Good,25-Oct-21,Wakao S et al.,Confirmation,
Discovery of photosynthesis genes through whole-genome sequencing of acetate-requiring mutants of Chlamydomonas reinhardtii.,https://doi.org/10.1371/journal.pgen.1009725,34492001,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.35, Weighted sum of stars: 1.0,Good,25-Oct-21,Wakao S et al.,New Finding,
Joint effects of genes underlying a temperature specialization tradeoff in yeast.,https://doi.org/10.1371/journal.pgen.1009793,34520469,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.77, Weighted sum of stars: 1.0,Good,6-Oct-21,AlZaben F et al.,New Finding,
Suppression of retinal degeneration by two novel ERAD ubiquitin E3 ligases SORDD1/2 in Drosophila.,https://doi.org/10.1371/journal.pgen.1009172,33137101,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.37, Weighted sum of stars: 1.0,Good,30-Dec-20,Xu J et al.,New Finding,
DNA replication stress triggers rapid DNA replication fork breakage by Artemis and XPF.,https://doi.org/10.1371/journal.pgen.1007541,30059501,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.7, Weighted sum of stars: 1.0,Good,13-Dec-20,Bétous R et al.,Good for Teaching,
Regulation of the plastochron by three many-noded dwarf genes in barley.,https://doi.org/10.1371/journal.pgen.1009292,33970916,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.2, Weighted sum of stars: 1.0,Good,2-Jun-21,Hibara KI et al.,New Finding,
DNA replication stress triggers rapid DNA replication fork breakage by Artemis and XPF.,https://doi.org/10.1371/journal.pgen.1007541,30059501,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.7, Weighted sum of stars: 1.0,Good,13-Dec-20,Bétous R et al.,New Finding,
Meiosis reveals the early steps in the evolution of a neo-XY sex chromosome pair in the African pygmy mouse Mus minutoides.,https://doi.org/10.1371/journal.pgen.1008959,33180767,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,8-Dec-20,Gil-Fernández A et al.,Interesting Hypothesis,
Human genome diversity data reveal that L564P is the predominant TPC2 variant and a prerequisite for the blond hair associated M484L gain-of-function effect.,https://doi.org/10.1371/journal.pgen.1009236,33465068,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.01, Weighted sum of stars: 2.0,Very Good,22-Apr-21,Böck J et al.,New Finding,
Indole-3-acetic acid is a physiological inhibitor of TORC1 in yeast.,https://doi.org/10.1371/journal.pgen.1009414,33690632,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.92, Weighted sum of stars: 6.0,Very Good,7-Apr-21,Nicastro R et al.,Interesting Hypothesis,
Meiosis reveals the early steps in the evolution of a neo-XY sex chromosome pair in the African pygmy mouse Mus minutoides.,https://doi.org/10.1371/journal.pgen.1008959,33180767,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,8-Dec-20,Gil-Fernández A et al.,New Finding,
Indole-3-acetic acid is a physiological inhibitor of TORC1 in yeast.,https://doi.org/10.1371/journal.pgen.1009414,33690632,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.92, Weighted sum of stars: 6.0,Very Good,7-Apr-21,Nicastro R et al.,New Finding,
#NAME?,https://doi.org/10.1371/journal.pgen.1008864,32584820,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.25, Weighted sum of stars: 1.0,Good,30-Sep-20,Lewis SH et al.,Confirmation,
Conserved function of the matriptase-prostasin proteolytic cascade during epithelial morphogenesis.,https://doi.org/10.1371/journal.pgen.1007882,30601807,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.45, Weighted sum of stars: 1.0,Good,29-Nov-20,Drees L et al.,New Finding,
IAA3-mediated repression of PIF proteins coordinates light and auxin signaling in Arabidopsis.,https://doi.org/10.1371/journal.pgen.1009384,33600444,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.27, Weighted sum of stars: 2.0,Very Good,8-Apr-21,Xi Y et al.,New Finding,
#NAME?,https://doi.org/10.1371/journal.pgen.1008864,32584820,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.25, Weighted sum of stars: 1.0,Good,30-Sep-20,Lewis SH et al.,Good for Teaching,
An Ichor-dependent apical extracellular matrix regulates seamless tube shape and integrity.,https://doi.org/10.1371/journal.pgen.1007146,29309404,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.75, Weighted sum of stars: 1.0,Good,26-Nov-20,Rosa JB et al.,New Finding,
The transcription and export complex THO/TREX contributes to transcription termination in plants.,https://doi.org/10.1371/journal.pgen.1008732,32282821,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.46, Weighted sum of stars: 1.0,Good,31-Aug-20,Khan GA et al.,New Finding,
Effector gene reshuffling involves dispensable mini-chromosomes in the wheat blast fungus.,https://doi.org/10.1371/journal.pgen.1008272,31513573,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.65, Weighted sum of stars: 1.0,Good,9-Jul-20,Peng Z et al.,Interesting Hypothesis,
Effector gene reshuffling involves dispensable mini-chromosomes in the wheat blast fungus.,https://doi.org/10.1371/journal.pgen.1008272,31513573,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.65, Weighted sum of stars: 1.0,Good,9-Jul-20,Peng Z et al.,New Finding,
The O-GlcNAc transferase OGT is a conserved and essential regulator of the cellular and organismal response to hypertonic stress.,https://doi.org/10.1371/journal.pgen.1008821,33006972,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.13, Weighted sum of stars: 1.0,Good,30-Mar-21,Urso SJ et al.,New Finding,
GLP-1 Notch-LAG-1 CSL control of the germline stem cell fate is mediated by transcriptional targets lst-1 and sygl-1.,https://doi.org/10.1371/journal.pgen.1008650,32196486,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.38, Weighted sum of stars: 2.0,Very Good,7-Mar-21,Chen J et al.,Confirmation,
GLP-1 Notch-LAG-1 CSL control of the germline stem cell fate is mediated by transcriptional targets lst-1 and sygl-1.,https://doi.org/10.1371/journal.pgen.1008650,32196486,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.38, Weighted sum of stars: 2.0,Very Good,7-Mar-21,Chen J et al.,New Finding,
GLP-1 Notch-LAG-1 CSL control of the germline stem cell fate is mediated by transcriptional targets lst-1 and sygl-1.,https://doi.org/10.1371/journal.pgen.1008650,32196486,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.38, Weighted sum of stars: 2.0,Very Good,7-Mar-21,Chen J et al.,Technical Advance,
Dysfunction of Oskyddad causes Harlequin-type ichthyosis-like defects in Drosophila melanogaster.,https://doi.org/10.1371/journal.pgen.1008363,31929524,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.26, Weighted sum of stars: 1.0,Good,25-Nov-20,Wang Y et al.,New Finding,
c-di-GMP inhibits LonA-dependent proteolysis of TfoY in Vibrio cholerae.,https://doi.org/10.1371/journal.pgen.1008897,32589664,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.11, Weighted sum of stars: 2.0,Very Good,22-Oct-20,Joshi A et al.,Interesting Hypothesis,
Effector gene reshuffling involves dispensable mini-chromosomes in the wheat blast fungus.,https://doi.org/10.1371/journal.pgen.1008272,31513573,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.65, Weighted sum of stars: 1.0,Good,9-Jul-20,Peng Z et al.,Technical Advance,
c-di-GMP inhibits LonA-dependent proteolysis of TfoY in Vibrio cholerae.,https://doi.org/10.1371/journal.pgen.1008897,32589664,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.11, Weighted sum of stars: 2.0,Very Good,22-Oct-20,Joshi A et al.,New Finding,
Coordinate genomic association of transcription factors controlled by an imported quorum sensing peptide in Cryptococcus neoformans.,https://doi.org/10.1371/journal.pgen.1008744,32956370,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.4, Weighted sum of stars: 2.0,Very Good,7-Oct-20,Summers DK et al.,Good for Teaching,
Coordinate genomic association of transcription factors controlled by an imported quorum sensing peptide in Cryptococcus neoformans.,https://doi.org/10.1371/journal.pgen.1008744,32956370,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.4, Weighted sum of stars: 2.0,Very Good,7-Oct-20,Summers DK et al.,New Finding,
Cell cycle transcriptomics of Capsaspora provides insights into the evolution of cyclin-CDK machinery.,https://doi.org/10.1371/journal.pgen.1008584,32176685,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.35, Weighted sum of stars: 1.0,Good,8-Jun-20,Pérez-Posada A et al.,New Finding,
"Aspergillus fumigatus calcium-responsive transcription factors regulate cell wall architecture promoting stress tolerance, virulence and caspofungin resistance.",https://doi.org/10.1371/journal.pgen.1008551,31887136,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.9, Weighted sum of stars: 1.0,Good,8-Apr-20,de Castro PA et al.,New Finding,
RNA Polymerase II CTD phosphatase Rtr1 fine-tunes transcription termination.,https://doi.org/10.1371/journal.pgen.1008317,32187185,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.46, Weighted sum of stars: 1.0,Good,8-Apr-20,Victorino JF et al.,Confirmation,
RNA Polymerase II CTD phosphatase Rtr1 fine-tunes transcription termination.,https://doi.org/10.1371/journal.pgen.1008317,32187185,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.46, Weighted sum of stars: 1.0,Good,8-Apr-20,Victorino JF et al.,Interesting Hypothesis,
WHIMP links the actin nucleation machinery to Src-family kinase signaling during protrusion and motility.,https://doi.org/10.1371/journal.pgen.1008694,32196488,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.29, Weighted sum of stars: 1.0,Good,4-Jun-20,Kabrawala S et al.,New Finding,
RNA Polymerase II CTD phosphatase Rtr1 fine-tunes transcription termination.,https://doi.org/10.1371/journal.pgen.1008317,32187185,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.46, Weighted sum of stars: 1.0,Good,8-Apr-20,Victorino JF et al.,New Finding,
PIKfyve regulates melanosome biogenesis.,https://doi.org/10.1371/journal.pgen.1007290,29584722,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.52, Weighted sum of stars: 1.0,Good,3-Jun-20,Liggins MC et al.,New Finding,
Global mistranslation increases cell survival under stress in Escherichia coli.,https://doi.org/10.1371/journal.pgen.1008654,32150542,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.44, Weighted sum of stars: 2.0,Very Good,10-May-20,Samhita L et al.,Good for Teaching,
Global mistranslation increases cell survival under stress in Escherichia coli.,https://doi.org/10.1371/journal.pgen.1008654,32150542,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.44, Weighted sum of stars: 2.0,Very Good,10-May-20,Samhita L et al.,Interesting Hypothesis,
Nuclear m6A reader YTHDC1 regulates alternative polyadenylation and splicing during mouse oocyte development.,https://doi.org/10.1371/journal.pgen.1007412,29799838,Score 5.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 12.56, Weighted sum of stars: 1.0,Good,20-Jan-20,Kasowitz SD et al.,New Finding,
Global mistranslation increases cell survival under stress in Escherichia coli.,https://doi.org/10.1371/journal.pgen.1008654,32150542,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.44, Weighted sum of stars: 2.0,Very Good,10-May-20,Samhita L et al.,New Finding,
Genome-wide association studies and CRISPR/Cas9-mediated gene editing identify regulatory variants influencing eyebrow thickness in humans.,https://doi.org/10.1371/journal.pgen.1007640,30248107,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.7, Weighted sum of stars: 2.0,Very Good,6-May-20,Wu S et al.,Good for Teaching,
Genome-wide association studies and CRISPR/Cas9-mediated gene editing identify regulatory variants influencing eyebrow thickness in humans.,https://doi.org/10.1371/journal.pgen.1007640,30248107,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.7, Weighted sum of stars: 2.0,Very Good,6-May-20,Wu S et al.,Interesting Hypothesis,
The alternative reality of plant mitochondrial DNA: One ring does not rule them all.,https://doi.org/10.1371/journal.pgen.1008373,31469821,Score 5.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 10.11, Weighted sum of stars: 1.0,Good,6-Apr-20,Kozik A et al.,New Finding,
Genome-wide association studies and CRISPR/Cas9-mediated gene editing identify regulatory variants influencing eyebrow thickness in humans.,https://doi.org/10.1371/journal.pgen.1007640,30248107,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.7, Weighted sum of stars: 2.0,Very Good,6-May-20,Wu S et al.,New Finding,
Relaxed constraint and functional divergence of the progesterone receptor (PGR) in the human stem-lineage.,https://doi.org/10.1371/journal.pgen.1008666,32302297,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.36, Weighted sum of stars: 2.0,Very Good,28-Apr-20,"Marinić M, Lynch VJ",Interesting Hypothesis,
Relaxed constraint and functional divergence of the progesterone receptor (PGR) in the human stem-lineage.,https://doi.org/10.1371/journal.pgen.1008666,32302297,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.36, Weighted sum of stars: 2.0,Very Good,28-Apr-20,"Marinić M, Lynch VJ",New Finding,
"Chromatin accessibility established by Pou5f3, Sox19b and Nanog primes genes for activity during zebrafish genome activation.",https://doi.org/10.1371/journal.pgen.1008546,31940339,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.87, Weighted sum of stars: 2.0,Very Good,15-Apr-20,Pálfy M et al.,New Finding,
"Xist RNA in action: Past, present, and future.",https://doi.org/10.1371/journal.pgen.1008333,31537017,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.65, Weighted sum of stars: 1.0,Good,20-Jan-20,"Loda A, Heard E",Good for Teaching,
Arabidopsis Flower and Embryo Developmental Genes are Repressed in Seedlings by Different Combinations of Polycomb Group Proteins in Association with Distinct Sets of Cis-regulatory Elements.,https://doi.org/10.1371/journal.pgen.1005771,26760036,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.26, Weighted sum of stars: 1.0,Good,18-Dec-19,Wang H et al.,Confirmation,
Architecture of the Escherichia coli nucleoid.,https://doi.org/10.1371/journal.pgen.1008456,31830036,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.73, Weighted sum of stars: 2.0,Very Good,2-Apr-20,Verma SC et al.,Good for Teaching,
Reciprocal c-di-GMP signaling: Incomplete flagellum biogenesis triggers c-di-GMP signaling pathways that promote biofilm formation.,https://doi.org/10.1371/journal.pgen.1008703,32176702,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.06, Weighted sum of stars: 2.0,Very Good,30-Mar-20,Wu DC et al.,Good for Teaching,
Reciprocal c-di-GMP signaling: Incomplete flagellum biogenesis triggers c-di-GMP signaling pathways that promote biofilm formation.,https://doi.org/10.1371/journal.pgen.1008703,32176702,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.06, Weighted sum of stars: 2.0,Very Good,30-Mar-20,Wu DC et al.,Interesting Hypothesis,
Arabidopsis Flower and Embryo Developmental Genes are Repressed in Seedlings by Different Combinations of Polycomb Group Proteins in Association with Distinct Sets of Cis-regulatory Elements.,https://doi.org/10.1371/journal.pgen.1005771,26760036,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.26, Weighted sum of stars: 1.0,Good,18-Dec-19,Wang H et al.,New Finding,
Reciprocal c-di-GMP signaling: Incomplete flagellum biogenesis triggers c-di-GMP signaling pathways that promote biofilm formation.,https://doi.org/10.1371/journal.pgen.1008703,32176702,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.06, Weighted sum of stars: 2.0,Very Good,30-Mar-20,Wu DC et al.,New Finding,
RPGRIP1L is required for stabilizing epidermal keratinocyte adhesion through regulating desmoglein endocytosis.,https://doi.org/10.1371/journal.pgen.1007914,30689641,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 1.0,Good,17-Dec-19,Choi YJ et al.,New Finding,
Genetic mapping of fitness determinants across the malaria parasite Plasmodium falciparum life cycle.,https://doi.org/10.1371/journal.pgen.1008453,31609965,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.67, Weighted sum of stars: 2.0,Very Good,12-Dec-19,Li X et al.,Good for Teaching,
