title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Computational epitope map of SARS-CoV-2 spike protein.,https://doi.org/10.1371/journal.pcbi.1008790,33793546,Score 9.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.32, Weighted sum of stars: 2.0,Very Good,09 May 2021,Sikora M et al.,New Finding
Changes-of-mind in the absence of new post-decision evidence.,https://doi.org/10.1371/journal.pcbi.1007149,32012147,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.15, Weighted sum of stars: 1.0,Good,04 May 2021,Atiya NAA et al.,Interesting Hypothesis
Combined computational modeling and experimental analysis integrating chemical and mechanical signals suggests possible mechanism of shoot meristem maintenance.,https://doi.org/10.1371/journal.pcbi.1010199,35727850,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.61, Weighted sum of stars: 2.0,Very Good,18 Aug 2022,Banwarth-Kuhn M et al.,New Finding
Dynamic cues for whisker-based object localization: An analytical solution to vibration during active whisker touch.,https://doi.org/10.1371/journal.pcbi.1006032,29584719,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.36, Weighted sum of stars: 1.0,Good,04 Jun 2020,Vaxenburg R et al.,New Finding
Fluid mechanics of the zebrafish embryonic heart trabeculation.,https://doi.org/10.1371/journal.pcbi.1010142,35666714,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.76, Weighted sum of stars: 1.0,Good,18 Jul 2022,Cairelli AG et al.,Interesting Hypothesis
Bayesian inference of metabolic kinetics from genome-scale multiomics data.,https://doi.org/10.1371/journal.pcbi.1007424,31682600,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.53, Weighted sum of stars: 4.0,Exceptional,15 Jun 2022,St John PC et al.,New Finding
Interspecies chimeric conditions affect the developmental rate of human pluripotent stem cells.,https://doi.org/10.1371/journal.pcbi.1008778,33647016,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.55, Weighted sum of stars: 1.0,Good,21 Mar 2021,Brown J et al.,Interesting Hypothesis
"DeLTA: Automated cell segmentation, tracking, and lineage reconstruction using deep learning.",https://doi.org/10.1371/journal.pcbi.1007673,32282792,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.05, Weighted sum of stars: 1.0,Good,24 Jan 2021,Lugagne JB et al.,New Finding
"DeLTA: Automated cell segmentation, tracking, and lineage reconstruction using deep learning.",https://doi.org/10.1371/journal.pcbi.1007673,32282792,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.05, Weighted sum of stars: 1.0,Good,24 Jan 2021,Lugagne JB et al.,Technical Advance
"Metabolic reprogramming dynamics in tumor spheroids: Insights from a multicellular, multiscale model.",https://doi.org/10.1371/journal.pcbi.1007053,31185009,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.94, Weighted sum of stars: 1.0,Good,30 Dec 2020,"Roy M, Finley SD",New Finding
Determining the interaction status and evolutionary fate of duplicated homomeric proteins.,https://doi.org/10.1371/journal.pcbi.1008145,32853212,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.42, Weighted sum of stars: 2.0,Very Good,23 Nov 2020,"Mallik S, Tawfik DS",Interesting Hypothesis
PRAS: Predicting functional targets of RNA binding proteins based on CLIP-seq peaks.,https://doi.org/10.1371/journal.pcbi.1007227,31425505,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.25, Weighted sum of stars: 1.0,Good,13 May 2020,Lin J et al.,Technical Advance
MAGIC: A tool for predicting transcription factors and cofactors driving gene sets using ENCODE data.,https://doi.org/10.1371/journal.pcbi.1007800,32251445,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.5, Weighted sum of stars: 2.0,Very Good,06 May 2020,Roopra A,Good for Teaching
MAGIC: A tool for predicting transcription factors and cofactors driving gene sets using ENCODE data.,https://doi.org/10.1371/journal.pcbi.1007800,32251445,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.5, Weighted sum of stars: 2.0,Very Good,06 May 2020,Roopra A,Novel Drug Target
Bayesian inference of metabolic kinetics from genome-scale multiomics data.,https://doi.org/10.1371/journal.pcbi.1007424,31682600,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.53, Weighted sum of stars: 4.0,Exceptional,15 Jun 2022,St John PC et al.,Technical Advance
How does a small molecule bind at a cryptic binding site?,https://doi.org/10.1371/journal.pcbi.1009817,35239648,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.98, Weighted sum of stars: 1.0,Good,28 Apr 2022,Shan Y et al.,Confirmation
Determining the interaction status and evolutionary fate of duplicated homomeric proteins.,https://doi.org/10.1371/journal.pcbi.1008145,32853212,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.42, Weighted sum of stars: 2.0,Very Good,23 Nov 2020,"Mallik S, Tawfik DS",New Finding
Structural organization and energy storage in crosslinked actin assemblies.,https://doi.org/10.1371/journal.pcbi.1006150,29813051,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.97, Weighted sum of stars: 2.0,Very Good,06 Jul 2020,"Ma R, Berro J",Controversial
How does a small molecule bind at a cryptic binding site?,https://doi.org/10.1371/journal.pcbi.1009817,35239648,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.98, Weighted sum of stars: 1.0,Good,28 Apr 2022,Shan Y et al.,Technical Advance
MAGIC: A tool for predicting transcription factors and cofactors driving gene sets using ENCODE data.,https://doi.org/10.1371/journal.pcbi.1007800,32251445,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.5, Weighted sum of stars: 2.0,Very Good,06 May 2020,Roopra A,Technical Advance
Stochastic optimal open-loop control as a theory of force and impedance planning via muscle co-contraction.,https://doi.org/10.1371/journal.pcbi.1007414,32109941,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.34, Weighted sum of stars: 2.0,Very Good,13 Apr 2020,"Berret B, Jean F",Good for Teaching
Ten simple rules for improving research data discovery.,https://doi.org/10.1371/journal.pcbi.1009768,35143479,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 2.0,Very Good,27 Mar 2022,Contaxis N et al.,Good for Teaching
"Estimating the contribution of HIV-infected adults to household pneumococcal transmission in South Africa, 2016-2018: A hidden Markov modelling study.",https://doi.org/10.1371/journal.pcbi.1009680,34941865,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,16 Jan 2022,Thindwa D et al.,Confirmation
Stochastic optimal open-loop control as a theory of force and impedance planning via muscle co-contraction.,https://doi.org/10.1371/journal.pcbi.1007414,32109941,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.34, Weighted sum of stars: 2.0,Very Good,13 Apr 2020,"Berret B, Jean F",Technical Advance
The relative contribution of color and material in object selection.,https://doi.org/10.1371/journal.pcbi.1006950,30978187,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.73, Weighted sum of stars: 2.0,Very Good,11 Dec 2019,Radonjić A et al.,Interesting Hypothesis
The relative contribution of color and material in object selection.,https://doi.org/10.1371/journal.pcbi.1006950,30978187,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.73, Weighted sum of stars: 2.0,Very Good,11 Dec 2019,Radonjić A et al.,New Finding
The relative contribution of color and material in object selection.,https://doi.org/10.1371/journal.pcbi.1006950,30978187,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.73, Weighted sum of stars: 2.0,Very Good,11 Dec 2019,Radonjić A et al.,Technical Advance
"Estimating the contribution of HIV-infected adults to household pneumococcal transmission in South Africa, 2016-2018: A hidden Markov modelling study.",https://doi.org/10.1371/journal.pcbi.1009680,34941865,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.82, Weighted sum of stars: 4.0,Exceptional,16 Jan 2022,Thindwa D et al.,New Finding
Rigid-body fitting to atomic force microscopy images for inferring probe shape and biomolecular structure.,https://doi.org/10.1371/journal.pcbi.1009215,34283829,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.18, Weighted sum of stars: 2.0,Very Good,21 Dec 2021,Niina T et al.,Technical Advance
A lipophilicity-based energy function for membrane-protein modelling and design.,https://doi.org/10.1371/journal.pcbi.1007318,31461441,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.19, Weighted sum of stars: 4.0,Exceptional,28 Nov 2019,Weinstein JY et al.,Technical Advance
BioAFMviewer: An interactive interface for simulated AFM scanning of biomolecular structures and dynamics.,https://doi.org/10.1371/journal.pcbi.1008444,33206646,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.22, Weighted sum of stars: 1.0,Good,08 Dec 2021,"Amyot R, Flechsig H",Technical Advance
Epithelial organ shape is generated by patterned actomyosin contractility and maintained by the extracellular matrix.,https://doi.org/10.1371/journal.pcbi.1008105,32817654,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.95, Weighted sum of stars: 2.0,Very Good,07 Dec 2021,Nematbakhsh A et al.,New Finding
"Available energy fluxes drive a transition in the diversity, stability, and functional structure of microbial communities.",https://doi.org/10.1371/journal.pcbi.1006793,30721227,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.2, Weighted sum of stars: 2.0,Very Good,03 Jun 2019,Marsland R et al.,Interesting Hypothesis
"Available energy fluxes drive a transition in the diversity, stability, and functional structure of microbial communities.",https://doi.org/10.1371/journal.pcbi.1006793,30721227,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.2, Weighted sum of stars: 2.0,Very Good,03 Jun 2019,Marsland R et al.,New Finding
Ten quick tips for effective dimensionality reduction.,https://doi.org/10.1371/journal.pcbi.1006907,31220072,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.63, Weighted sum of stars: 2.0,Very Good,11 Sep 2019,"Nguyen LH, Holmes S",Good for Teaching
Neural control of body-plan axis in regenerating planaria.,https://doi.org/10.1371/journal.pcbi.1006904,30990801,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.59, Weighted sum of stars: 1.0,Good,18 Aug 2019,Pietak A et al.,Good for Teaching
Neural control of body-plan axis in regenerating planaria.,https://doi.org/10.1371/journal.pcbi.1006904,30990801,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.59, Weighted sum of stars: 1.0,Good,18 Aug 2019,Pietak A et al.,Interesting Hypothesis
"Available energy fluxes drive a transition in the diversity, stability, and functional structure of microbial communities.",https://doi.org/10.1371/journal.pcbi.1006793,30721227,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.2, Weighted sum of stars: 2.0,Very Good,03 Jun 2019,Marsland R et al.,Technical Advance
Inherent versus induced protein flexibility: Comparisons within and between apo and holo structures.,https://doi.org/10.1371/journal.pcbi.1006705,30699115,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.74, Weighted sum of stars: 2.0,Very Good,28 May 2019,Clark JJ et al.,Confirmation
Neural control of body-plan axis in regenerating planaria.,https://doi.org/10.1371/journal.pcbi.1006904,30990801,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.59, Weighted sum of stars: 1.0,Good,18 Aug 2019,Pietak A et al.,Technical Advance
Mitochondrial respiration and ROS emission during β-oxidation in the heart: An experimental-computational study.,https://doi.org/10.1371/journal.pcbi.1005588,28598967,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.9, Weighted sum of stars: 2.0,Very Good,14 Jul 2019,Cortassa S et al.,Interesting Hypothesis
Inherent versus induced protein flexibility: Comparisons within and between apo and holo structures.,https://doi.org/10.1371/journal.pcbi.1006705,30699115,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.74, Weighted sum of stars: 2.0,Very Good,28 May 2019,Clark JJ et al.,Technical Advance
Computational Discovery of Putative Leads for Drug Repositioning through Drug-Target Interaction Prediction.,https://doi.org/10.1371/journal.pcbi.1005219,27893735,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.88, Weighted sum of stars: 2.0,Very Good,07 May 2019,Coelho ED et al.,Interesting Hypothesis
Mitochondrial respiration and ROS emission during β-oxidation in the heart: An experimental-computational study.,https://doi.org/10.1371/journal.pcbi.1005588,28598967,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.9, Weighted sum of stars: 2.0,Very Good,14 Jul 2019,Cortassa S et al.,New Finding
Ten simple rules towards healthier research labs.,https://doi.org/10.1371/journal.pcbi.1006914,30973866,Score 78.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.32, Weighted sum of stars: 17.0,Very Good,22 Apr 2019,Maestre FT,Good for Teaching
Ten simple rules towards healthier research labs.,https://doi.org/10.1371/journal.pcbi.1006914,30973866,Score 78.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.32, Weighted sum of stars: 17.0,Very Good,22 Apr 2019,Maestre FT,Interesting Hypothesis
Computational Discovery of Putative Leads for Drug Repositioning through Drug-Target Interaction Prediction.,https://doi.org/10.1371/journal.pcbi.1005219,27893735,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.88, Weighted sum of stars: 2.0,Very Good,07 May 2019,Coelho ED et al.,Novel Drug Target
Ten simple rules for better figures.,https://doi.org/10.1371/journal.pcbi.1003833,25210732,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.39, Weighted sum of stars: 4.0,Exceptional,15 Jan 2019,Rougier NP et al.,Good for Teaching
Stability of working memory in continuous attractor networks under the control of short-term plasticity.,https://doi.org/10.1371/journal.pcbi.1006928,31002672,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.43, Weighted sum of stars: 1.0,Good,01 May 2019,Seeholzer A et al.,Technical Advance
Polarization and migration in the zebrafish posterior lateral line system.,https://doi.org/10.1371/journal.pcbi.1005451,28369079,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.36, Weighted sum of stars: 2.0,Very Good,06 Jan 2019,Knutsdottir H et al.,Interesting Hypothesis
Unmet needs for analyzing biological big data: A survey of 704 NSF principal investigators.,https://doi.org/10.1371/journal.pcbi.1005755,29049281,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.53, Weighted sum of stars: 2.0,Very Good,15 Feb 2018,Barone L et al.,New Finding
Base pair probability estimates improve the prediction accuracy of RNA non-canonical base pairs.,https://doi.org/10.1371/journal.pcbi.1005827,29107980,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 2.0,Very Good,15 Jan 2018,"Sloma MF, Mathews DH",Good for Teaching
Mapping DNA sequence to transcription factor binding energy in vivo.,https://doi.org/10.1371/journal.pcbi.1006226,30716072,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.89, Weighted sum of stars: 1.0,Good,07 Apr 2019,Barnes SL et al.,Technical Advance
Metabolic Needs and Capabilities of Toxoplasma gondii through Combined Computational and Experimental Analysis.,https://doi.org/10.1371/journal.pcbi.1004261,26001086,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 2.0,Very Good,16 Oct 2018,Tymoshenko S et al.,New Finding
Semantic prioritization of novel causative genomic variants.,https://doi.org/10.1371/journal.pcbi.1005500,28414800,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.86, Weighted sum of stars: 2.0,Very Good,12 Sep 2018,Boudellioua I et al.,New Finding
Base pair probability estimates improve the prediction accuracy of RNA non-canonical base pairs.,https://doi.org/10.1371/journal.pcbi.1005827,29107980,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 2.0,Very Good,15 Jan 2018,"Sloma MF, Mathews DH",Technical Advance
Network propagation in the cytoscape cyberinfrastructure.,https://doi.org/10.1371/journal.pcbi.1005598,29023449,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.93, Weighted sum of stars: 2.0,Very Good,21 Dec 2017,Carlin DE et al.,Good for Teaching
Semantic prioritization of novel causative genomic variants.,https://doi.org/10.1371/journal.pcbi.1005500,28414800,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.86, Weighted sum of stars: 2.0,Very Good,12 Sep 2018,Boudellioua I et al.,Technical Advance
Network propagation in the cytoscape cyberinfrastructure.,https://doi.org/10.1371/journal.pcbi.1005598,29023449,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.93, Weighted sum of stars: 2.0,Very Good,21 Dec 2017,Carlin DE et al.,Technical Advance
Identification of immune signatures predictive of clinical protection from malaria.,https://doi.org/10.1371/journal.pcbi.1005812,29065113,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.78, Weighted sum of stars: 1.0,Good,18 Dec 2017,"Valletta JJ, Recker M",Good for Teaching
Statistical investigations of protein residue direct couplings.,https://doi.org/10.1371/journal.pcbi.1006237,30596639,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.23, Weighted sum of stars: 2.0,Very Good,04 Apr 2019,"Neuwald AF, Altschul SF",Good for Teaching
Most random gene expression signatures are significantly associated with breast cancer outcome.,https://doi.org/10.1371/journal.pcbi.1002240,22028643,Score 51.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 8.92, Weighted sum of stars: 11.0,Very Good,08 Nov 2011,Venet D et al.,Controversial
Most random gene expression signatures are significantly associated with breast cancer outcome.,https://doi.org/10.1371/journal.pcbi.1002240,22028643,Score 51.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 8.92, Weighted sum of stars: 11.0,Very Good,08 Nov 2011,Venet D et al.,Good for Teaching
Most random gene expression signatures are significantly associated with breast cancer outcome.,https://doi.org/10.1371/journal.pcbi.1002240,22028643,Score 51.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 8.92, Weighted sum of stars: 11.0,Very Good,08 Nov 2011,Venet D et al.,Interesting Hypothesis
Most random gene expression signatures are significantly associated with breast cancer outcome.,https://doi.org/10.1371/journal.pcbi.1002240,22028643,Score 51.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 8.92, Weighted sum of stars: 11.0,Very Good,08 Nov 2011,Venet D et al.,New Finding
Identification of immune signatures predictive of clinical protection from malaria.,https://doi.org/10.1371/journal.pcbi.1005812,29065113,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.78, Weighted sum of stars: 1.0,Good,18 Dec 2017,"Valletta JJ, Recker M",New Finding
Learning causal networks with latent variables from multivariate information in genomic data.,https://doi.org/10.1371/journal.pcbi.1005662,28968390,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.41, Weighted sum of stars: 2.0,Very Good,27 Nov 2017,Verny L et al.,Good for Teaching
Learning causal networks with latent variables from multivariate information in genomic data.,https://doi.org/10.1371/journal.pcbi.1005662,28968390,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.41, Weighted sum of stars: 2.0,Very Good,27 Nov 2017,Verny L et al.,New Finding
Learning causal networks with latent variables from multivariate information in genomic data.,https://doi.org/10.1371/journal.pcbi.1005662,28968390,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.41, Weighted sum of stars: 2.0,Very Good,27 Nov 2017,Verny L et al.,Technical Advance
Defining the estimated core genome of bacterial populations using a Bayesian decision model.,https://doi.org/10.1371/journal.pcbi.1003788,25144616,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 2.0,Very Good,06 Nov 2017,van Tonder AJ et al.,Controversial
Defining the estimated core genome of bacterial populations using a Bayesian decision model.,https://doi.org/10.1371/journal.pcbi.1003788,25144616,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 2.0,Very Good,06 Nov 2017,van Tonder AJ et al.,Good for Teaching
Defining the estimated core genome of bacterial populations using a Bayesian decision model.,https://doi.org/10.1371/journal.pcbi.1003788,25144616,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 2.0,Very Good,06 Nov 2017,van Tonder AJ et al.,Interesting Hypothesis
Defining the estimated core genome of bacterial populations using a Bayesian decision model.,https://doi.org/10.1371/journal.pcbi.1003788,25144616,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 2.0,Very Good,06 Nov 2017,van Tonder AJ et al.,New Finding
mixOmics: An R package for 'omics feature selection and multiple data integration.,https://doi.org/10.1371/journal.pcbi.1005752,29099853,Score 8.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 72.47, Weighted sum of stars: 1.0,Good,28 Aug 2018,Rohart F et al.,Technical Advance
Exploration and stabilization of Ras1 mating zone: A mechanism with positive and negative feedbacks.,https://doi.org/10.1371/journal.pcbi.1006317,30028833,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.61, Weighted sum of stars: 1.0,Good,27 Aug 2018,Khalili B et al.,Good for Teaching
Exploration and stabilization of Ras1 mating zone: A mechanism with positive and negative feedbacks.,https://doi.org/10.1371/journal.pcbi.1006317,30028833,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.61, Weighted sum of stars: 1.0,Good,27 Aug 2018,Khalili B et al.,New Finding
Most random gene expression signatures are significantly associated with breast cancer outcome.,https://doi.org/10.1371/journal.pcbi.1002240,22028643,Score 51.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 8.92, Weighted sum of stars: 11.0,Very Good,08 Nov 2011,Venet D et al.,Refutation
Exploration and stabilization of Ras1 mating zone: A mechanism with positive and negative feedbacks.,https://doi.org/10.1371/journal.pcbi.1006317,30028833,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.61, Weighted sum of stars: 1.0,Good,27 Aug 2018,Khalili B et al.,Technical Advance
